🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
🌈	cuaca, hujan, pelangi
🌂	cuaca, hujan, pakaian, payung, payung tertutup
☂	cuaca, hujan, pakaian, payung
☔	cuaca, hujan, pakaian, payung, payung dengan titisan hujan, rintik
⛱	cuaca, hujan, matahari, payung, payung di atas tanah
⚡	bahaya, elektrik, kilat, kuasa elektrik, voltan, voltan tinggi, zap
❄	cuaca, emping salji, salji, sejuk
☃	cuaca, orang-orang salji, salji, sejuk
⛄	cuaca, orang-orang salji, orang-orang salji tanpa salji, salji, sejuk
☄	angkasa lepas, komet
🔥	alat, api
💧	cuaca, komik, peluh, sejuk, titisan, titisan air
🌊	air, cuaca, gelombang, lautan, ombak laut
🎃	halloween, jack, perayaan, tanglung, tanglung labu
🎄	krismas, perayaan, pokok, pokok krismas
🎆	bunga api, perayaan
🎇	berkilau, bunga api, mercun, perayaan
🧨	bahan letupan, bunga api, dinamit, petasan
✨	berkilau, berkilauan, bintang
🎈	belon, perayaan
🎉	parti, pencetus bunyi, pencetus bunyi parti, perayaan, tada
🎊	bebola konfeti, bola, konfeti, perayaan
🎋	jepun, perayaan, pokok, pokok tanabata, sepanduk
🎍	Jepun, buluh, hiasan pain, pain, perayaan
🎎	anak patung, anak patung Jepun, jepun, perayaan, pesta
🎏	kap, panji-panji, panji-panji kap, perayaan
🎐	angin, loceng, peranggu, peranggu loceng angin, perayaan
🎑	bulan, perayaan, upacara, upacara bulan
🧧	angpau, hadiah, paket merah, tuah, wang
🎀	perayaan, reben
🎁	berbalut, bungkusan hadiah, hadiah, kotak, perayaan
🎗	perayaan, peringatan, reben, reben peringatan
🎟	masuk, tiket, tiket masuk
🎫	masuk, tiket
🎖	perayaan, pingat, pingat tentera, tentera
🏆	hadiah, piala
🏅	pingat, pingat sukan
🥇	emas, medal, pertama, pingat tempat pertama
🥈	kedua, medal, perak, pingat tempat kedua
🥉	gangsa, ketiga, medal, pingat tempat ketiga
⚽	bola, bola sepak
⚾	besbol, bola
🥎	bola, bola lisut, paras rusuk, sarung tangan
🏀	bola, bola keranjang, jaring
🏐	bola, bola tampar, permainan
🏈	amerika, bola, bola sepak, bola sepak amerika
🏉	bola, bola sepak, bola sepak ragbi, ragbi
🎾	bola, raket, tenis
🥏	cakera terbang, muktamad
🎳	bola, boling, permainan
🏏	bola, kriket, pemukul, permainan
🏑	bola, hoki, hoki padang, kayu, padang, permainan
🏒	ais, hoki, hoki ais, kayu, pak, permainan
🥍	bola, gol, kayu, lacrosse
🏓	bola, padel, pemukul, permainan, ping pong
🏸	badminton, birdie, bulu tangkis, permainan, raket
🥊	sarung tangan, sarung tangan tinju, sukan, tinju
🥋	judo, karate, pakaian seni bela diri, seni bela diri, taekwondo
🥅	gol, jaring, jaring gol, sukan
⛳	bendera dalam lubang, golf, lubang
⛸	ais, luncur, sepatu luncur ais
🎣	batang kail, ikan, joran mengail, kail
🎽	baju, baju larian, berlari, selemang
🎿	salji, ski
🛷	geluncur, kereta luncur salji
🥌	batu, batu curling, permainan
🎯	baling damak, balingan tepat, kena, kena tepat, permainan, pusat sasaran, sasaran
🎱	8, biliard, bola, lapan, permainan
🔮	alat, bola, bola kristal, cerita dongeng, fantasi, kristal, nasib
🧿	azimat nazar, manik, mantera, mata syaitan, nazar, tangkal
🎮	alat kawalan, permainan, permainan video
🕹	kayu bedik, permainan, permainan video
🎰	mesin judi, permainan, slot
🎲	dadu, dadu permainan, dadu-dadu, permainan
🧩	bercantum, kepingan, petunjuk, suai gambar, teka-teki
🧸	barang mainan, beruang teddy, mainan, plusy, sumbat
♠	daun, daun sped, kad, permainan, sped
♥	daun, daun lekuk, hati, kad, lekuk, permainan
♦	berlian, daiman, daun, daun daiman, kad, permainan
♣	daun, daun kelawar, kad, kelab, kelawar, permainan
♟	bidak catur, boleh kembang, catur, memperdaya
🃏	bermain, joker, kad, permainan
🀄	mahjung, merah, naga merah mahjung, permainan
🎴	Jepun, bermain, bunga, kad, permainan, terup bunga
🎭	panggung, persembahan, seni, seni persembahan, teater, topeng
🖼	bingkai, bingkai dengan gambar, gambar, gambar berbingkai, lukisan, muzium, seni
🎨	lukisan, muzium, palet, palet artis, seni
🧵	benang, gelendong, jarum, menjahit, tali
🧶	bola, kait, krusye, yarn
🔇	pembesar suara, pembesar suara dimatikan, redam, senyap, tenang
🔈	kelantangan rendah pembesar suara, perlahan
🔉	kelantangan sederhana pembesar suara, sederhana
🔊	kelantangan tinggi pembesar suara, kuat
📢	corong pembesar suara, kuat, siar raya
📣	bersorak, megafon
📯	hon, hon pos, pos, wakil pos
🔔	loceng
🔕	dilarang, loceng, loceng berpalang, redam, senyap
🎼	muzik, skor, skor muzik
🎵	muzik, nota, nota muzik
🎶	muzik, nota, nota-nota, nota-nota muzik
🎙	mikrofon, mikrofon studio, muzik, studio
🎚	aras, muzik, pelungsur, pelungsur aras
🎛	kawalan, muzik, tombol, tombol kawalan
🎤	karaoke, mike, mikrofon
🎧	fon kepala, fon telinga
📻	radio, video
🎷	alat, muzik, saks, saksofon
🎸	alat, gitar, muzik
🎹	instrumen, keyboard, keyboard muzik, muzik, piano
🎺	alat, muzik, trompet
🎻	alat, biola, muzik
🥁	dram, kayu dram, muzik
📱	mudah alih, sel, telefon, telefon bimbit
📲	anak panah, mudah alih, sel, telefon, telefon bimbit dengan anak panah, terima
☎	fon, telefon
📞	gagang telefon, penerima, telefon
📟	alat kelui
📠	faks, mesin faksimili
🔋	bateri
🔌	elektrik, kuasa elektrik, palam, palam elektrik
💻	komputer, komputer riba, pc, peribadi
🖥	komputer, komputer meja, meja
🖨	komputer, pencetak
⌨	komputer, papan kekunci
🖱	komputer, tetikus komputer
🖲	bebola jejak, komputer
💽	cakera, cakera komputer, cakera mini, komputer, optik
💾	cakera, cakera liut, komputer, liut
💿	cakera, cakera optik, cd, komputer, optik
📀	blu-ray, cakera, dvd, komputer, optik
🧮	pengiraan, sempua
🎥	filem, kamera, kamera filem, pawagam
🎞	bingkai, bingkai filem, filem, pawagam, wayang
📽	filem, pawagam, projektor, projektor filem, video, wayang
🎬	filem, papan pengetap, pengetap
📺	televisyen, tv, video
📷	kamera, video
📸	denyar, kamera, kamera dengan denyar, video
📹	kamera, kamera video, video
📼	pita, pita video, vhs, video
🔍	alat, carian, kanta, kanta pembesar condong ke kiri, pembesar
🔎	alat, carian, kanta, kanta pembesar condong ke kanan, pembesar
🕯	cahaya, lilin
💡	cahaya, elektrik, idea, komik, mentol, mentol lampu
🔦	alat, cahaya, elektrik, lampu suluh
🏮	bar, cahaya, merah, tanglung, tanglung kertas merah
📔	berhias, buku, buku nota, buku nota dengan kulit berhias, kulit
📕	buku, buku tertutup, tertutup
📖	buka terbuka, buku, terbuka
📗	buku, buku hijau, hijau
📘	biru, buku, buku biru
📙	buku, buku oren, oren
📚	buku
📓	buku nota
📒	buku nota, lejar
📃	dokumen, halaman, halaman ikal, ikal
📜	kertas, skrol
📄	dokumen, halaman, halaman menghadap atas
📰	akhbar, berita, kertas
🗞	akhbar, akhbar bergulung, bergulung, berita, kertas
📑	penanda, penanda halaman, tab, tab penanda halaman, tanda
🔖	penanda buku, tanda
🏷	label
💰	beg, dolar, karung duit, wang
💴	duit, duit kertas, mata wang, wang, wang kertas yen, yen
💵	dolar, mata wang, wang, wang kertas, wang kertas dolar
💶	euro, mata wang, wang, wang kertas, wang kertas euro
💷	mata wang, pound, wang, wang kertas, wang kertas paun
💸	sayap, terbang, wang, wang dengan sayap, wang kertas, wang kertas bersayap
💳	bank, kad, kad kredit, kredit, wang
🧾	bukti, keterangan, perakaunan, resit, simpan kira
💹	carta, carta meningkat dengan yen, carta yen meningkat, graf, pertumbuhan, wang, yen
💱	bank, mata wang, pertukaran, pertukaran mata wang, wang
💲	dolar, mata wang, tanda dolar tebal, wang
✉	e-mel, sampul surat, surat
📧	e-mel, mel, surat
📨	e-mel, emel, masuk, sampul surat, sampul surat masuk, surat, terima
📩	anak panah, e-mel, emel, keluar, mel, sampul surat, sampul surat dengan anak panah
📤	dihantar, dulang, dulang keluar, kotak, mel, peti keluar, surat
📥	dulang, dulang masuk, kotak, mel, peti masuk, surat, terima
📦	bungkusan, kotak, pakej
📫	mel, peti mel, peti surat, peti surat tertutup dengan bendera dinaikkan, tertutup
📪	diturunkan, mel, peti mel, peti surat, peti surat tertutup dengan bendera diturunkan, tertutup
📬	mel, peti mel, peti surat, peti surat terbuka dengan bendera dinaikkan, terbuka
📭	diturunkan, mel, peti mel, peti surat, peti surat terbuka dengan bendera diturunkan, terbuka
📮	mel, peti mel, peti pos
🗳	kotak, peti undi dengan undian, undi
✏	pensel
✒	mata pen, mata pen hitam, pen
🖋	pen, pena
🖊	mata bulat, pen
🖌	berus cat, lukisan
🖍	krayon
📝	memo, pensel
💼	beg bimbit
📁	fail, folder, folder fail
📂	fail, folder, folder buka fail, terbuka
🗂	indeks, kad, pembahagi, pembahagi indeks kad
📅	kalendar, tarikh
📆	kalendar, kalendar koyak
🗒	nota, pad, pad nota pilin, pilin
🗓	kalendar, kalendar pilin, pad, pilin
📇	indeks, indeks kad, kad, rolodex
📈	arah aliran, carta, carta menaik, graf, menaik, pertumbuhan
📉	arah aliran, carta, carta menurun, graf, menurun
📊	bar, carta, carta bar, graf
📋	papan klip
📌	paku tekan, pin
📍	paku tekan bulat, pin, pin tekan
📎	klip kertas
🖇	bersambung, klip kertas, klip kertas berpaut
📏	pembaris, pembaris lurus, tepi lurus
📐	pembaris, pembaris segi tiga, segi tiga, set
✂	alat, gunting
🗃	fail, kad, kotak, kotak fail kad
🗄	fail, kabinet, kabinet fail
🗑	tong sampah
🔒	berkunci, bermangga
🔓	buka kunci, kunci, mangga terbuka, terbuka
🔏	dakwat, kunci, mangga dengan pen, mata pen, pen, privasi
🔐	berkunci, kunci, mangga terkunci dengan anak kunci, mengunci, selamat
🔑	kata laluan, kunci
🗝	kunci, kunci lama, lama, mengunci, petunjuk
🔨	alat, tukul
⛏	alat, beliung, perlombongan
⚒	alat, beliung, tukul, tukul dan beliung
🛠	alat, perengkuh, tukul, tukul dan perengkuh
🗡	pisau, pisau belati, senjata
⚔	bersilang, pedang, pedang bersilang, senjata
🔫	alat, pistol, revolver, senjata
🏹	alat, busar, panah, panah dan busur, pemanah, sagittarius, senjata, zodiak
🛡	perisai, senjata
🔧	alat, perengkuh
🔩	alat, bolt, nat, nat dan bolt
⚙	alat, gear
🗜	alat, pemampatan, ragum
⚖	keadilan, libra, neraca timbang, penimbang, zodiak
🔗	pautan, rantai
⛓	rantai, rantaian
🧰	alat, kotak alat, mekanik, peti
🧲	bermagnet, ladam kuda, magnet, tarikan
⚗	alat, alembic, kimia
🧪	ahli kimia, eksperimen, kimia, makmal, sains, tabung uji
🧫	ahli biologi, bakteria, biologi, kultur, makmal, piring petri
🧬	ahli biologi, dna, evolusi, gen, genetik, hayat
🔬	alat, mikroskop, sains
🔭	alat, sains, teleskop
📡	antena, antena satelit, piring, satelit
💉	alat, doktor, jarum, perubatan, picagari, sakit, suntikan
💊	doktor, perubatan, pil, sakit
🚪	pintu
🛏	hotel, katil, tidur
🛋	hotel, lampu, sofa, sofa dan lampu
🚽	mangkuk tandas, tandas
🚿	air, pancuran
🛁	mandi, tab mandi
🧴	botol losyen, losyen, pelembab, penapis suria, syampu
🧷	lampin, pin dawai, punk rock
🧹	ahli sihir, membersih, menyapu, penyapu
🧺	bakul, berkelah, berladang, dobi-mendobi
🧻	gulungan kertas, kertas tandas, tuala kertas
🧼	bekas sabun, buih, mandi, membersih, sabun, sebuku
🧽	membersih, menyerap, poros, span
🧯	alat pemadam api, api, lindap, padam
🛒	beli-belah, troli, troli beli-belah
🚬	merokok, rokok
⚰	kematian, keranda
⚱	kematian, pengebumian, takar, takar abu mayat
🗿	moyai, muka, patung
🏧	atm, automatik, bank, juruwang, tanda ATM
🚮	sampah, tanda buang ke dalam tong sampah, tong sampah
🚰	air, air minum, boleh diminum, minum
♿	akses, kerusi roda
🚹	bilik air, lelaki, tandas, tandas lelaki, wc
🚺	bilik air, tandas, tandas wanita, wanita, wc
🚻	bilik air, tandas, wc
🚼	bayi, simbol bayi, tukar lampin
🚾	air, bilik, tandas pam, wc
🛂	kawalan, kawalan pasport, pasport
🛃	kastam
🛄	bagasi, tuntutan, tuntutan bagasi
🛅	bagasi, bagasi tertinggal, lokar
⚠	amaran
🚸	kanak-kanak, kanak-kanak melintas, lalu lintas, melintas, pejalan kaki, trafik
⛔	bukan, dilarang, dilarang masuk, ditegah, lalu lintas, masuk, tidak
🚫	bukan, dilarang, masuk, tidak
🚳	basikal, basikal dilarang, bukan, dilarang, ditegah, sepeda, tidak
🚭	dilarang, dilarang merokok, ditegah, merokok, tidak
🚯	dilarang, dilarang membuang sampah, ditegah, sampah, tidak
🚱	air, air tak boleh minum, air tidak boleh minum, tidak boleh minum
🚷	dilarang, ditegah, pejalan kaki, pejalan kaki dilarang, tidak
📵	dilarang, dilarang guna telefon bimbit, fon, mudah alih, sel, telefon, tidak
🔞	18, bawah lapan belas tidak dibenarkan, bawah umur, bukan, dilarang, lapan belas, sekatan umur
☢	radioaktif, simbol
☣	biobahaya, simbol
⬆	anak panah, anak panah ke atas, arah, kardinal, utara
↗	anak panah, anak panah penjuru atas kanan, antara kardinal, arah, timur laut
➡	anak panah, anak panah ke kanan, arah, kardinal, timur
↘	anak panah, anak panah penjuru bawah kanan, antara kardinal, arah, tenggara
⬇	anak panah, anak panah ke bawah, arah, kardinal, ke bawah, selatan
↙	anak panah, anak panah ke penjuru kiri bawah, antara kardinal, arah, barat daya
⬅	anak panah, anak panah ke kiri, arah, barat, kardinal
↖	anak panah, anak panah ke penjuru kiri atas, antara kardinal, arah, barat laut
↕	anak panah, anak panah ke atas ke bawah
↔	anak panah, anak panah ke kiri ke kanan
↩	anak panah, anak panah ke kanan melengkung ke kiri
↪	anak panah, anak panah ke kiri melengkung ke kanan
⤴	anak panah, anak panah ke kanan melengkung ke atas
⤵	anak panah, anak panah ke kanan melengkung ke bawah, ke bawah
🔃	anak panah, anak panah menegak ikut jam, ikut arah jam, muat semula
🔄	anak panah, arah lawan jam, bertentangan arah jam, butang anak panah lawan jam, lawan jam
🔙	anak panah, anak panah ‘BACK’, kembali
🔚	anak panah, anak panah ‘END’, tamat
🔛	anak panah, anak panah ON!, hidup, tanda
🔜	anak panah, anak panah ‘SOON’, tidak lama lagi
🔝	anak panah, anak panah ‘TOP’, atas, top
🛐	agama, ibadah, tempat ibadat
⚛	ateis, atom, simbol atom
🕉	agama, hindu, om
✡	agama, bintang, bintang daud, daud, orang yahudi, yahudi
☸	agama, dharma, penganut buddha, roda, roda dharma
☯	agama, penganut tao, tao, yang, yin, yin yang
✝	agama, kristian, salib, salib latin
☦	agama, kristian, salib, salib ortodoks
☪	agama, bintang dan bulan sabit, islam, orang islam
☮	keamanan, simbol keamanan
🕎	agama, kaki lilin, kandelabrum, menorah
🔯	bintang, bintang berpenjuru enam berbintik, nasib
♈	Aries, ram, zodiak
♉	Taurus, lembu, lembu jantan, zodiak
♊	Gemini, kembar, zodiak
♋	Cancer, ketam, zodiak
♌	Leo, singa, zodiak
♍	Virgo, anak dara, perempuan muda, zodiak
♎	Libra, keadilan, kira-kira, penimbang, zodiak
♏	Scorpio, kala jengking, scorpio, zodiak
♐	Sagittarius, pemanah, zodiak
♑	Capricorn, kambing, zodiak
♒	Aquarius, air, pembawa, zodiak
♓	Pisces, ikan, zodiak
⛎	Ophiuchus, pembawa, ular, zodiak
🔀	anak panah, butang rombak trek, melintasi
🔁	anak panah, butang ulang, ikut jam, ulang
🔂	anak panah, butang ulang sekali, ikut jam, sekali
▶	anak panah, butang main, kanan, main, segi tiga
⏩	anak panah, berganda, butang mara laju, maju, pantas
⏭	adegan berikutnya, anak panah, butang trek berikutnya, segi tiga, trek berikutnya
⏯	anak panah, butang main atau jeda, jeda, kanan, main, segi tiga
◀	anak panah, butang undur, kiri, segi tiga, undur
⏪	anak panah, berganda, butang undur laju, mandir
⏮	adegan sebelumnya, anak panah, butang runut terakhir, runut sebelumnya, segi tiga
🔼	anak panah, butang, butang ke atas, merah
⏫	anak panah, berganda, butang laju ke atas
🔽	anak panah, butang, butang ke bawah, ke bawah, merah
⏬	anak panah, berganda, butang laju ke bawah, ke bawah
⏸	berganda, butang jeda, jeda, menegak, palang
⏹	butang henti, henti, persegi
⏺	bulatan, butang rakam, rekod
⏏	butang keluarkan, keluarkan
🎦	filem, kamera, panggung, wayang
🔅	butang malap, kecerahan, malap, rendah
🔆	butang cerah, cerah, kecerahan
📶	antena, fon, isyarat, mudah alih, palang, palang antena, sel, telefon
📳	fon, getaran, mod, mod getaran, mudah alih, sel, telefon
📴	fon, matikan, mudah alih, sel, telefon, telefon mudah alih dimatikan
♀	simbol perempuan, wanita
♂	lelaki, simbol lelaki
⚕	perubatan, simbol perubatan, staf
♾	infiniti, sejagat, selama-lamanya, tidak terbatas
♻	kitar semula, simbol kitar semula
⚜	fleur-de-lis
🔱	alat, kapal, lambang, lambang trisula, sauh, trisula
📛	lencana, lencana nama, nama
🔰	alat, chevron, daun, hijau, jepun, kuning, pemula, simbol Jepun untuk pemula
⭕	bulatan, bulatan besar tebal, o
✅	semak, tanda, tanda semak tebal putih
☑	kotak, peti undi dengan tanda semak, semak, undi
✔	semak, tanda, tanda semak tebal
✖	batal, darab, darab x tebal, pendaraban, x
❌	batal, darab, pendaraban, tanda, tanda pangkah, x
❎	butang tanda pangkah, segi empat sama, tanda
➕	campur, matematik, tanda campur tebal
➖	matematik, tanda tolak tebal, tolak
➗	bahagi, matematik, tanda bahagi tebal
➰	gelung, gelung ikal, ikal
➿	berganda, gelung, gelung ikal berganda, ikal
〽	bahagian, tanda, tanda penyelingan bahagian
✳	asterisk, asterisk berjejari lapan
✴	bintang, bintang berpenjuru lapan
❇	kilauan
‼	bangbang, seru, tanda, tanda baca, tanda seru berganda
⁉	interrobang, seru, soalan, tanda, tanda baca, tanda soal seru
❓	soalan, tanda, tanda baca, tanda soal
❔	digariskan, soalan, tanda, tanda baca, tanda soal putih
❕	digariskan, seru, tanda, tanda baca, tanda seru putih
❗	seru, tanda, tanda baca, tanda seru
〰	berombak-ombak, sengkang, sengkang berombak-ombak, tanda baca
©	hak cipta
®	berdaftar
™	tanda, tanda dagangan, tm
💯	100, penuh, seratus, seratus mata, skor
🔠	huruf, huruf besar, huruf besar latin input, input, latin
🔡	abcd, huruf, huruf kecil, huruf kecil latin input, input, latin
🔢	1234, input, nombor, nombor input
🔣	input, simbol input
🔤	abc, abjad, huruf, huruf latin input, input, latin
🅰	a, butang A (jenis darah), darah
🆎	ab, butang AB (jenis darah), darah
🅱	b, butang B (jenis darah), darah
🆑	butang CL, cl
🆒	butang COOL, sejuk
🆓	butang FREE, percuma
ℹ	i, maklumat, sumber maklumat
🆔	butang ID, id, identiti
Ⓜ	bulatan, huruf M dibulatkan, m
🆕	baharu, butang NEW
🆖	butang NG, ng
🅾	butang O (jenis darah), darah, o
🆗	butang OK, ok
🅿	butang P, letak kereta
🆘	bantu, butang SOS, sos
🆙	butang UP!, ke atas, tanda
🆚	butang VS, lawan, lwn.
🈁	butang ‘di sini’ Jepun, jepun
🈂	Jepun, butang ‘caj perkhidmatan’ Jepun, katakana, サ
🈷	Jepun, butang “amaun bulanan” Jepun, ideograf, “amaun bulanan”, 月
🈶	Jepun, butang “bukan percuma” Jepun, ideograf, “bukan percuma”, 有
🈯	Jepun, butang “ditempah” Jepun, ideograf, “ditempah”, 指
🉐	Jepun, butang “murah” Jepun, ideograf, “murah”, 得
🈹	Jepun, butang “diskaun” Jepun, butang “ditempah” Jepun, ideograf, “diskaun”, 割
🈚	Jepun, butang “percuma” Jepun, ideograf, “percuma”, 無
🈲	Jepun, butang “dilarang” Jepun, butang “ditempah” Jepun, ideograf, “dilarang”, 禁
🉑	Jepun, butang “boleh diterima” Jepun, ideograf, “boleh diterima”, 可
🈸	Jepun, butang “aplikasi” Jepun, ideograf, “aplikasi”, 申
🈴	Jepun, butang “gred lulus” Jepun, ideograf, “gred lulus”, 合
🈳	Jepun, butang “kerja kosong” Jepun, ideograf, “kerja kosong”, 空
㊗	Jepun, butang “tahniah” Jepun, ideograf, “tahniah”, 祝
㊙	Jepun, butang “rahsia” Jepun, butang “tahniah” Jepun, ideograf, “tahniah”, 秘
🈺	Jepun, butang “dibuka untuk perniagaan” Jepun, ideograf, “dibuka untuk perniagaan”, 営
