🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🙏🏻	жэст, калі ласка, малітва, просьба, рукі, светлы тон скуры, складзеныя рукі, складзеныя рукі: светлы тон скуры
🙏🏼	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙏🏽	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдні тон скуры, сярэдні тон скуры
🙏🏾	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙏🏿	жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі, складзеныя рукі: цёмны тон скуры, цёмны тон скуры
💅🏻	догляд, касметыка, лак для ногцяў, лак для ногцяў: светлы тон скуры, ногці, рука, светлы тон скуры
💅🏼	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдне-светлы тон скуры, ногці, рука, сярэдне-светлы тон скуры
💅🏽	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдні тон скуры, ногці, рука, сярэдні тон скуры
💅🏾	догляд, касметыка, лак для ногцяў, лак для ногцяў: сярэдне-цёмны тон скуры, ногці, рука, сярэдне-цёмны тон скуры
💅🏿	догляд, касметыка, лак для ногцяў, лак для ногцяў: цёмны тон скуры, ногці, рука, цёмны тон скуры
👂🏻	вуха, вуха: светлы тон скуры, светлы тон скуры, слых, цела
👂🏼	вуха, вуха: сярэдне-светлы тон скуры, слых, сярэдне-светлы тон скуры, цела
👂🏽	вуха, вуха: сярэдні тон скуры, слых, сярэдні тон скуры, цела
👂🏾	вуха, вуха: сярэдне-цёмны тон скуры, слых, сярэдне-цёмны тон скуры, цела
👂🏿	вуха, вуха: цёмны тон скуры, слых, цела, цёмны тон скуры
👃🏻	нос, нос: светлы тон скуры, нюх, светлы тон скуры, цела
👃🏼	нос, нос: сярэдне-светлы тон скуры, нюх, сярэдне-светлы тон скуры, цела
👃🏽	нос, нос: сярэдні тон скуры, нюх, сярэдні тон скуры, цела
👃🏾	нос, нос: сярэдне-цёмны тон скуры, нюх, сярэдне-цёмны тон скуры, цела
👃🏿	нос, нос: цёмны тон скуры, нюх, цела, цёмны тон скуры
#⃣	клавіша, клавіша: #
*⃣	клавіша, клавіша: *
🔟	клавіша, клавіша: 10
🇦🇨	сцяг, сцяг: Востраў Узнясення
