‾	верхняя рыса
🇱🇻	Сцяг, Сцяг: Латвія
🇱🇾	Сцяг, Сцяг: Лівія
🇲🇦	Сцяг, Сцяг: Марока
🇲🇨	Сцяг, Сцяг: Манака
🇲🇩	Сцяг, Сцяг: Малдова
🇲🇪	Сцяг, Сцяг: Чарнагорыя
🇲🇫	Сцяг, Сцяг: Сен-Мартэн
🇲🇬	Сцяг, Сцяг: Мадагаскар
🇲🇭	Сцяг, Сцяг: Маршалавы астравы
🇲🇰	Сцяг, Сцяг: Паўночная Македонія
🇲🇱	Сцяг, Сцяг: Малі
🇲🇲	Сцяг, Сцяг: М’янма (Бірма)
🇲🇳	Сцяг, Сцяг: Манголія
🇲🇴	Сцяг, Сцяг: Макаа, САР (Кітай)
🇲🇵	Сцяг, Сцяг: Паўночныя Марыянскія астравы
🇲🇶	Сцяг, Сцяг: Марцініка
🇲🇷	Сцяг, Сцяг: Маўрытанія
🇲🇸	Сцяг, Сцяг: Мантсерат
🇲🇹	Сцяг, Сцяг: Мальта
🇲🇺	Сцяг, Сцяг: Маўрыкій
🇲🇻	Сцяг, Сцяг: Мальдывы
🇲🇼	Сцяг, Сцяг: Малаві
🇲🇽	Сцяг, Сцяг: Мексіка
🇲🇾	Сцяг, Сцяг: Малайзія
🇲🇿	Сцяг, Сцяг: Мазамбік
🇳🇦	Сцяг, Сцяг: Намібія
🇳🇨	Сцяг, Сцяг: Новая Каледонія
🇳🇪	Сцяг, Сцяг: Нігер
🇳🇫	Сцяг, Сцяг: Востраў Норфалк
🇳🇬	Сцяг, Сцяг: Нігерыя
🇳🇮	Сцяг, Сцяг: Нікарагуа
🇳🇱	Сцяг, Сцяг: Нідэрланды
🇳🇴	Сцяг, Сцяг: Нарвегія
🇳🇵	Сцяг, Сцяг: Непал
🇳🇷	Сцяг, Сцяг: Науру
🇳🇺	Сцяг, Сцяг: Ніуэ
🇳🇿	Сцяг, Сцяг: Новая Зеландыя
🇴🇲	Сцяг, Сцяг: Аман
🇵🇦	Сцяг, Сцяг: Панама
🇵🇪	Сцяг, Сцяг: Перу
🇵🇫	Сцяг, Сцяг: Французская Палінезія
🇵🇬	Сцяг, Сцяг: Папуа-Новая Гвінея
🇵🇭	Сцяг, Сцяг: Філіпіны
🇵🇰	Сцяг, Сцяг: Пакістан
🇵🇱	Сцяг, Сцяг: Польшча
🇵🇲	Сцяг, Сцяг: Сен-П’ер і Мікелон
🇵🇳	Сцяг, Сцяг: Астравы Піткэрн
🇵🇷	Сцяг, Сцяг: Пуэрта-Рыка
🇵🇸	Сцяг, Сцяг: Палесцінскія Тэрыторыі
🇵🇹	Сцяг, Сцяг: Партугалія
🇵🇼	Сцяг, Сцяг: Палау
🇵🇾	Сцяг, Сцяг: Парагвай
🇶🇦	Сцяг, Сцяг: Катар
🇷🇪	Сцяг, Сцяг: Рэюньён
🇷🇴	Сцяг, Сцяг: Румынія
🇷🇸	Сцяг, Сцяг: Сербія
🇷🇺	Сцяг, Сцяг: Расія
🇷🇼	Сцяг, Сцяг: Руанда
🇸🇦	Сцяг, Сцяг: Саудаўская Аравія
🇸🇧	Сцяг, Сцяг: Саламонавы астравы
🇸🇨	Сцяг, Сцяг: Сейшэльскія астравы
🇸🇩	Сцяг, Сцяг: Судан
🇸🇪	Сцяг, Сцяг: Швецыя
🇸🇬	Сцяг, Сцяг: Сінгапур
🇸🇭	Сцяг, Сцяг: Востраў Святой Алены
🇸🇮	Сцяг, Сцяг: Славенія
🇸🇯	Сцяг, Сцяг: Шпіцберген і Ян-Маен
🇸🇰	Сцяг, Сцяг: Славакія
🇸🇱	Сцяг, Сцяг: Сьера-Леонэ
🇸🇲	Сцяг, Сцяг: Сан-Марына
🇸🇳	Сцяг, Сцяг: Сенегал
🇸🇴	Сцяг, Сцяг: Самалі
🇸🇷	Сцяг, Сцяг: Сурынам
🇸🇸	Сцяг, Сцяг: Паўднёвы Судан
🇸🇹	Сцяг, Сцяг: Сан-Тамэ і Прынсіпі
🇸🇻	Сцяг, Сцяг: Сальвадор
🇸🇽	Сцяг, Сцяг: Сінт-Мартэн
🇸🇾	Сцяг, Сцяг: Сірыя
🇸🇿	Сцяг, Сцяг: Эсватыні
🇹🇦	Сцяг, Сцяг: Трыстан-да-Кунья
🇹🇨	Сцяг, Сцяг: Астравы Цёркс і Кайкас
🇹🇩	Сцяг, Сцяг: Чад
🇹🇫	Сцяг, Сцяг: Французскія паўднёвыя тэрыторыі
🇹🇬	Сцяг, Сцяг: Тога
🇹🇭	Сцяг, Сцяг: Тайланд
🇹🇯	Сцяг, Сцяг: Таджыкістан
🇹🇰	Сцяг, Сцяг: Такелау
🇹🇱	Сцяг, Сцяг: Тымор-Лешці
🇹🇲	Сцяг, Сцяг: Туркменістан
🇹🇳	Сцяг, Сцяг: Туніс
🇹🇴	Сцяг, Сцяг: Тонга
🇹🇷	Сцяг, Сцяг: Турцыя
🇹🇹	Сцяг, Сцяг: Трынідад і Табага
🇹🇻	Сцяг, Сцяг: Тувалу
🇹🇼	Сцяг, Сцяг: Тайвань
🇹🇿	Сцяг, Сцяг: Танзанія
🇺🇦	Сцяг, Сцяг: Украіна
🇺🇬	Сцяг, Сцяг: Уганда
🇺🇲	Сцяг, Сцяг: Малыя Аддаленыя астравы ЗША
🇺🇳	Сцяг, Сцяг: Арганізацыя Аб’яднаных Нацый
🇺🇸	Сцяг, Сцяг: Злучаныя Штаты
🇺🇾	Сцяг, Сцяг: Уругвай
🇺🇿	Сцяг, Сцяг: Узбекістан
🇻🇦	Сцяг, Сцяг: Ватыкан
🇻🇨	Сцяг, Сцяг: Сент-Вінсент і Грэнадзіны
🇻🇪	Сцяг, Сцяг: Венесуэла
🇻🇬	Сцяг, Сцяг: Брытанскія Віргінскія астравы
🇻🇮	Сцяг, Сцяг: Амерыканскія Віргінскія астравы
🇻🇳	Сцяг, Сцяг: В’етнам
🇻🇺	Сцяг, Сцяг: Вануату
🇼🇫	Сцяг, Сцяг: Уоліс і Футуна
🇼🇸	Сцяг, Сцяг: Самоа
🇽🇰	Сцяг, Сцяг: Косава
🇾🇪	Сцяг, Сцяг: Емен
🇾🇹	Сцяг, Сцяг: Маёта
🇿🇦	Сцяг, Сцяг: Паўднёва-Афрыканская Рэспубліка
🇿🇲	Сцяг, Сцяг: Замбія
🇿🇼	Сцяг, Сцяг: Зімбабвэ
🏴󠁧󠁢󠁥󠁮󠁧󠁿	Сцяг, Сцяг: Англія
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Сцяг, Сцяг: Шатландыя
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Сцяг, Сцяг: Уэльс
¤	невядомая валюта
¢	цэнт
$	USD, грошы, долар, песа
£	EGP, GBP, валюта, стэрлінгаў, фунт
¥	CNY, JPY, валюта, юань, іена
֏	армянскі драм
؋	афганскі афгані
৳	бангладэшская така
฿	тайскі бат
៛	камбаджыйскі рыель
₡	коста-рыканскі калон
₢	BRB, валюта, крузейра
₣	валюта, франк, французскі франк
₤	валюта, ліра
₥	міль
₦	нігерыйская наіра
₩	KPW, KRW, вона
₪	новы ізраільскі шэкель
₫	в’етнамскі донг
€	EUR, валюта, еўра
₭	лаоскі кіп
₮	мангольскі тугрык
₰	валюта, нямецкі, пфеніг
₱	песа
₲	парагвайскі гуарані
₳	ARA, аўстраль, валюта
₴	украінская грыўня
₵	ганскі седзі
₶	валюта, турнуа, турскі ліўр
₷	валюта, спесміла
₸	казахстанскі тэнге
₹	валюта, рупія, індыйская рупія
₺	турэцкая ліра
₼	азербайджанскі манат
₽	валюта, расійскі, расійскі рубель, рубель
₾	грузінскі лары
₿	BTC, біткойн
₨	валюта, рупія
﷼	валюта, рыял
¹	адзінка, верхні індэкс, надрадковая, надрадковая адзінка
²	верхні індэкс, двойка, надрадковая, надрадковая двойка, у квадраце
³	верхні індэкс, надрадковая, надрадковая тройка, тройка, у кубе
µ	вымярэнне, знак «мікра»
🏻	колер скуры, светлы тон скуры, тып 1–2
