🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🎎	festival, festë, japoneze, kukull, kukulla japoneze
🎏	festim, flamur, koinobori, krap
🎐	erë, festim, festë, zile, zile ere
🎑	ceremoni, ceremoni për hënën, festim, festë, hënë
🧧	dhuratë, fatsjellëse, para, zarf i kuq
🎀	festim, festë, fjongo
🎁	dhuratë, dhuratë e mbështjellë, festë, kuti
🎗	festim, festë, fjongo, fjongo kujtese, kujtesë
🎟	biletat e hyrjes, biletë, hyrje
🎫	biletë, hyrje
🎖	festim, festë, medalje, medalje ushtarake, ushtarake
🏆	trofe, çmim
🏅	medalje, medalje sportive
🥇	ar, i parë, medalje, medalje e vendit të parë
🥈	argjend, i dytë, medalje, medalje e vendit të dytë
🥉	bronz, i tretë, medalje, medalje e vendit të tretë
⚽	futboll, top, top futbolli
⚾	bejsboll, top
🥎	bejsboll, dorezë, softboll, top, top softbolli
🏀	basketboll, kosh, top
🏐	lojë, top, volejboll
🏈	amerikan, futboll, futboll amerikan, top
🏉	futboll, regbi, top
🎾	raketë, tenis, top
🥏	hedhje disku, sport, ultimate
🎳	bouling, lojë, top
🏏	kriket, lojë, shkop, top
🏑	fushë, hokej në fushë, lojë, shkop, top
🏒	akull, disk, hokej, lojë, shkop, shkopi dhe disku i hokejit në akull
🥍	lakros, shkop, top
🏓	lojë, pingpong, raketë, tavolinë, top
🏸	badminton, lojë, pupël, raketë, zog i vogël
🥊	boks, dorezë, dorezë boksi, sport
🥋	arte ushtarake, karate, sport, uniformë artesh ushtarake, xhudo
🥅	gol, rrjet, rrjetë golash, sport
⛳	flamur në vrimë, golf, vrimë
⛸	akull, patina akulli, patinë
🎣	grep, peshk, shkop
🎽	bluzë, bluzë vrapimi, brez, vrapim
🎿	borë, ski
🛷	sajë, slitë
🥌	gur, gur kurlingu, lojë, shkëmb
🎯	goditje e drejtpërdrejtë, lojë, objektiv, qendër, shigjetë
🎱	8, bilardo, gurë, lojë, tetë
🔮	fantazi, fat, kristal, top, top kristali
🧿	hajmali, hajmali kundër syrit të keq, mësysh, rruazë, syri i keq
🎮	kontrollues, lojë, videolojë
🕹	levë, lojë, videolojë
🎰	lojë, lojë me monedha, monedhë
🎲	lojë, zar, zar loje, zarë
🧩	e dhënë, enigmë, lojë, lojë me bashkim pjesësh figure, pjesë figure
🧸	arushë, arushë pelushi, lodër, pelush
♠	figurë, figurë maç, letër, lojë, maç
♥	figurë, figurë kupë, kupë, letër, lojë
♦	figurë, figurë karo, karo, letër, lojë
♣	figura spathi, figurë, letër, lojë, spathi
♟	gur shahu, i pavlerë, leshko, shah
🃏	letër, lojë, luaj, xholi
🀄	dragua i kuq mahjong, i kuq, lojë, mahjong
🎴	japoneze, letra me lule, letër, lojë
🎭	art, arte interpretimi, interpretim, maskë, teatër
🖼	art, kornizë me pikturë, muze, pikturë
🎨	art, muze, paleta e artistit, paletë, pikturë
🧵	fije, gjilpërë, qep, rrotë peri, spango
🧶	fill, grep, lëmsh, thur me shtiza, top
🔇	altoparlant, altoparlant joaktiv, i heshtur, pa zë, volum
🔈	altoparlant, altoparlant me zë të ulët, volum i ulët, zë i butë
🔉	altoparlant, altoparlant me zë mesatar, i ulët, valë, volum
🔊	altoparlant, altoparlant me 3 vija, altoparlant me zë të lartë, volum i lartë, zë i fortë
📢	altoparlant me zë, e folur publike, me zë të lartë
📣	brohoritje, megafon
📯	bori, bri, briri i postës, postar, postë
🔔	zile
🔕	e heshtur, pa zë, zile, zile me vizë të pjerrët
🎼	muzikë, pentagram
🎵	muzikë, notë, notë muzikore
🎶	muzikë, nota, nota muzikore, notë
🎙	mikrofon, mikrofon studioje, muzikë, studio
🎚	muzikë, nivel, rrëshqitës, rrëshqitësi i nivelit
🎛	kontroll, muzikë, çelësa, çelësat e kontrollit
🎤	karaoke, mikrofon
🎧	kufje, vesh
📻	radio, video
🎷	instrument, muzikë, saksofon
🎸	instrument, kitarë, muzikë
🎹	instrument, muzikë, piano, tastierë, tastierë muzikore
🎺	instrument, muzikë, trombë
🎻	instrument, muzikë, violinë
🥁	daulle, muzikë, shkopinj daulleje
📱	celular, i lëvizshëm, telefon
📲	celular, celular me shigjetë, marr, shigjetë, telefonatë
☎	telefon
📞	receptor, receptor telefoni, telefon
📟	biper
📠	faks
🔋	bateri
🔌	elektricitet, elektrike, spinë, spinë elektrike
💻	kompjuter, laptop, personal
🖥	desktop, kompjuter, kompjuter desktop
🖨	kompjuter, printer
⌨	kompjuter, tastierë
🖱	kompjuter, miu i kompjuterit
🖲	kompjuter, sfera rrotulluese
💽	disk, disk i vogël, kompjuter, minidisk, optik
💾	disk, disketë, kompjuter
💿	cd, disk, disk optik, kompjuter, optik
📀	blu-ray, disk, dvd, kompjuter, optik
🧮	abak, llogaritës, numërator, panel mozaik
🎥	film, kamerë, kamerë filmi, kinema
🎞	film, kinema, kuadro, kuadro filmi, video
📽	film, kinema, projektor, projektor filmi, video
🎬	film, tabelë dublimi, tabelë dublimi e skenës
📺	televizor, tv, video
📷	kamerë, video
📸	blic, kamerë, kamerë me blic, video
📹	kamerë, video, videokamerë
📼	shirit, vhs, video, videokasetë
🔍	kërko, lupë, lupë zmadhuese që tregon majtas, xham zmadhues
🔎	kërko, lupë, lupë zmadhuese e drejtuar djathtas, lupë zmadhuese që tregon djathtas, xham zmadhues
🕯	dritë, qiri
💡	dritë, elektrik, ide, llambë, vizatim komik
🔦	dritë, elektrik, elektrik dore, fener, vegël
🏮	dritë, fener me letër të kuqe, i kuq, japoneze
📔	bllok shënimesh, bllok shënimesh me kapak dekorativ, dekorativ, kapak, libër
📕	i mbyllur, libër, libër i mbyllur
📖	hap, i hapur, libër, libër i hapur
📗	jeshil, libër, libër jeshil
📘	blu, libër, libër blu
📙	libër, libër portokalli, portokalli
📚	libra, libër
📓	bllok shënimesh
📒	bllok shënimesh, libër llogarish
📃	dokument, faqe, faqe e përthyer, përthyej
📜	dorëshkrim i mbledhur rrotull, letër
📄	dokument, faqe, faqe e drejtuar lart
📰	gazetë, lajme, letër
🗞	gazetë, gazetë e mbledhur rrotull, lajme, letër, rrotull
📑	faqeshënues, shenjë, shënues, skeda, skedat e faqeshënuesve
🔖	faqeshënues, shenjë
🏷	etiketë
💰	dollar, para, qese, qese parash, çantë
💴	faturë, jen, kartëmonedhë, kartëmonedhë jeni, valutë
💵	dollar, faturë, kartëmonedhë, kartëmonedhë dollari, monedhë
💶	faturë, kartëmonedhë, kartëmonedhë euroje, monedhë, para
💷	kartëmonedhë paundi, monedhë, para, paund, valutë
💸	fluturoj, kartëmonedhë, krahë, para, para me krahë
💳	bankë, kartë, kartë krediti, kredit, para
🧾	bllok llogarie, faturë, kontabilitet
💹	grafik, grafik rritës me jenë, jen, tendencë, treg
💱	bankë, këmbim, këmbimi i valutës, monedhë, para
💲	dollar, monedhë, para, shenjë dollari e trashur
✉	email, letër, postë elektronike, zarf
📧	email, letër, postë
📨	email, në ardhje, postë elektronike, zarf, zarf në ardhje
📩	dalëse, e dërguar, email, letër, postë elektronike, zarf me shigjetë
📤	kutia postare në dalje, letër, postë, sirtar
📥	letër, marr, postë, sirtar, sirtari i kutisë postare
📦	kuti, pako
📫	e mbyllur, kuti postare, kuti postare e mbyllur me flamurin lart, kuti poste, postë
📪	kuti postare, kuti postare e mbyllur me flamurin poshtë, kuti poste, postë
📬	e hapur, hap, kuti postare, kuti postare e hapur me flamurin lart, postë
📭	kuti postare, kuti postare e hapur me flamurin poshtë, poshtë, postë
📮	kuti postare, postë
🗳	kuti, kuti votimi me votë, votim, votë
✏	laps
✒	majë pene, penë, penë e zezë
🖋	penë, stilograf
🖊	me sferë, stilolaps
🖌	furçë piktori, pikturë
🖍	shkumës me ngjyrë
📝	laps, shënime
💼	valixhe
📁	dokument, dosje, dosje dokumentesh, skedar
📂	dokument, dosje, dosje dokumentesh e hapur, skedar
🗂	indeks, letër, ndarëse, ndarëse skedash, skedë
📅	datë, kalendar
📆	kalendar, kalendar që griset
🗒	bllok, bllok shënimesh me spirale, shënim, spiral, spirale
🗓	bllok, kalendar, kalendar me spirale, spirale
📇	indeks, katalog, katalog skedash, letër, skedë
📈	grafik, grafik rritës, lart, rritje, tendencë
📉	grafik, grafik zbritës, poshtë, tendencë
📊	grafik, grafik me shirita, shirit
📋	mbajtëse letrash
📌	gjilpërë, gjilpërë kapëse
📍	gjilpërë, gjilpërë kapëse, gjilpërë kapëse e rrumbullakët
📎	kapëse letrash
🖇	kapëse teli, kapëse teli të lidhura, lidhje
📏	anë e drejtë, vizore, vizore e drejtë
📐	komplet, trekëndësh, trekëndëshe, vizore, vizore trekëndëshe
✂	gërshërë, prerje, vegël
🗃	kuti, kuti skedarësh, letër, skedar
🗄	dokument, sirtar, sirtar dokumentesh, skedar
🗑	kosh basketbolli
🔒	i mbyllur, kyç
🔓	hap, i hapur, i shkyçur, kyç i hapur
🔏	bojë, kyç, kyç me penë, majë pene, privatësi
🔐	i mbyllur, i sigurt, kyç, kyç i mbyllur me çelës, çelës
🔑	fjalëkalim, kyç, çelës
🗝	i vjetër, ide, kyç, çelës, çelës i vjetër
🔨	vegël, çekiç
⛏	kazmë, minierë, vegël
⚒	kazmë, vegël, çekiç, çekiç dhe kazmë
🛠	vegël, çekiç, çekiç dhe çelës, çelës
🗡	armë, kamë, thikë
⚔	armë, e kryqëzuar, shpata, shpata të kryqëzuara, të kryqëzuara
🔫	armë, pistoletë, pushkë, revolver, vegël
🏹	armë, hark dhe shigjetë, harkëtar, shigjetari zodiak
🛡	armë, mburojë
🔧	vegël, çelës anglez
🔩	bulon, bulon dhe dado, dado, vegël
⚙	ingranazh, vegël
🗜	morsë, ngjeshje, ngjeshëse, shtrënguese, vegël
⚖	drejtësi, ekuilibër, peshore, peshë, zodiak
🔗	lidh, zinxhir
⛓	zinxhir, zinxhirë
🧰	arkë veglash, kuti veglash, kuti veglash dore, vegla mekanike
🧲	magnet, magnet patkua, tërheqje
⚗	aparat destilues, kimi, lambik
🧪	eksperiment, epruvetë, kimi, kimist, laborator
🧫	kulturë, laborator, lamelë, lamë
🧬	ADN, biolog, evoluim, gjene, gjenetikë
🔬	instrument, mikroskop, shkencë, vegël
🔭	instrument, shkencë, teleskop, vegël
📡	antenë, antenë satelitore, satelit, satelitore
💉	doktor, gjilpërë, ilaç, injeksion, shiringë
💊	bar, doktor, i sëmurë, ilaç, pilulë
🚪	derë
🛏	gjumë, hotel, krevat
🛋	divan, divan dhe llambë, hotel, llambë
🚽	tualet
🚿	dush, ujë
🛁	vaskë
🧴	locion, shampo, shishe solucioni, solucion, tretës, zbutës
🧷	mbërtheckë, paramane, pëlhurë
🧹	fshesë, fshirëse, pastruese, shtrigë
🧺	kosh, piknik, rroba, shportë
🧻	letra higjienike, letër për pastrim, rrotë letre
🧼	banjë, kallëp sapuni, larje, mbajtëse sapuni, sapun
🧽	material poroz, pastrim, sfungjer, thithës
🧯	fikës zjarri, ftohës, lëndë shuarjeje, shuarës zjarri
🛒	blerje, karrocë, karrocë dore, karrocë pazari, pazar
🚬	cigare, pirje duhani
⚰	arkivol, vdekje
⚱	funeral, urnë, urnë funerali, vdekje
🗿	fytyrë, moai, statujë
🏧	atm, bankomat, bankë, shenja e bankomatit, sportel
🚮	kosh, mbeturinë, shenja e koshit të mbeturinave
🚰	i pijshëm, pi, pije, ujë, ujë i pijshëm
♿	karrocë me rrota, qasje
🚹	banja e meshkujve, banjë, burrë, tualet, wc
🚺	banja e femrave, banjë, femër, tualet, wc
🚻	banja, banjë, tualet, wc
🚼	bebe, në ndryshim, simboli i bebes
🚾	banjë, tualet, ujë, wc
🛂	kontroll, kontrolli i pasaportave, pasaportë
🛃	doganë, shenjë
🛄	bagazh, marrje, marrje bagazhesh
🛅	bagazh, bagazh i lënë, dollap, kyç
⚠	kujdes, shenjë
🚸	fëmijë, kalim, kalim fëmijësh, këmbësor, trafik
⛔	hyrje, jo, ndalohet, ndalohet hyrja, qarkullimi rrugor
🚫	hyrje, jo, ndalohet, nuk
🚳	biçikletë, jo, mjet, ndalohen biçikletat, ndalohet
🚭	duhan, jo, ndalohet, ndalohet duhani, nuk
🚯	jo, mbeturina, ndalohet, ndalohet hedhja e mbeturinave, nuk
🚱	ndalohet, nuk, pi, ujë, ujë jo i pijshëm
🚷	jo, këmbësor, ndalohen kalimtarët, ndalohet, nuk
📵	celular, jo, ndalohen celularët, ndalohet, telefon
🔞	18, jo, kufizim moshe, ndalohet, ndalohet nën moshën tetëmbëdhjetë
☢	rrezik radioaktiv, shenjë
☣	rrezik biologjik, shenjë
⬆	drejtim, kryesore, shigjeta lart, shigjetë, veri
↗	drejtim, i ndërmjetëm, shigjeta lart-djathtas, shigjetë, verilindje
➡	drejtim, kryesore, lindje, shigjetë, shigjetë djathtas
↘	drejtim, i ndërmjetëm, juglindje, shigjetë, shigjetë poshtë djathtas
⬇	drejtim, jug, kryesore, poshtë, shigjetë, shigjetë poshtë
↙	drejtim, i ndërmjetëm, jugperëndim, shigjetë, shigjetë poshtë majtas
⬅	drejtim, kryesor, perëndim, shigjeta majtas, shigjetë
↖	drejtim, i ndërmjetëm, shigjeta lart-majtas, shigjetë, veriperëndim
↕	shigjeta lart-poshtë, shigjetë
↔	shigjetë, shigjetë majtas-djathtas
↩	shigjetë, shigjetë djathtas e përkulur majtas
↪	shigjeta majtas me hark djathtas, shigjetë
⤴	shigjetë, shigjetë djathtas e përkulur lart
⤵	poshtë, shigjetë, shigjetë djathtas e përkulur poshtë
🔃	orar, orare, ringarko, shigjeta vertikale orare, shigjetë
🔄	antiorar, butoni me shigjetat antiorare, kundër drejtimit të orës, kundërorar, shigjetë
🔙	prapa, shigjetë, shigjetë prapa
🔚	fund, shigjeta e fundit, shigjetë
🔛	aktiv, aktive, shenjë, shigjeta aktive!, shigjetë
🔜	shigjeta shpejt, shigjetë, shpejt
🔝	kreu, lart, shigjetë, shigjetë lart
🛐	adhuroj, falem, fe, vend kulti
⚛	ateist, atom, simboli i atomit
🕉	fe, hindu, om
✡	fe, hebraik, hebre, yll, ylli i Davidit, ylli i davidit
☸	budist, darmë, fe, rrota e darmës, rrotë
☯	fe, jang, jin, jin jang, tao, taoist
✝	fe, i krishterë, kryq, kryqi latin
☦	fe, i krishterë, kryq, kryq ortodoks
☪	fe, islam, mysliman, yll dhe gjysmëhënë
☮	faqe, simboli i paqes
🕎	fe, hanukia, shandan
🔯	fat, yll, yll me gjashtë cepa me pikë
♈	dashi, zodiak
♉	buall, dem, demi, zodiak
♊	binjakë, binjakët, zodiak
♋	gaforre, gaforrja, zodiak
♌	luan, luani, zodiak
♍	vajzë, virgjëresha, virgjëreshë, zodiak
♎	drejtësi, ekuilibër, peshore, peshorja, zodiak
♏	akrep, akrepi, zodiak
♐	harkëtar, shigjetari, zodiak
♑	bricjapi, dhi, zodiak
♒	mbajtës, ujori, ujë, zodiak
♓	peshk, peshqit, zodiak
⛎	gjarpër, mbajtës, ofiuku, zodiak
🔀	butoni i përzierjes së këngëve, e kryqëzuar, shigjetë
🔁	butoni i përsëritjes, orar, përsërit, shigjetë
🔂	butoni i përsëritjes një herë, një herë, orar, shigjetë
▶	butoni i luajtjes, djathtas, luaj, shigjetë, trekëndësh
⏩	butoni përpara shpejt, e dyfishtë, e shpejtë, përpara, shigjetë
⏭	butoni i këngës tjetër, kënga tjetër, shigjetë, skena tjetër, trekëndësh
⏯	butoni i luajtjes ose pauzës, djathtas, luaj, ndërprerje, pauzë
◀	butoni i kthimit prapa, majtas, prapa, shigjetë, trekëndësh
⏪	butoni i kthimit shpejt, e dyfishtë, kthim prapa, shigjetë
⏮	butoni i këngës së fundit, kënga e mëparshme, shigjetë, skena e mëparshme, trekëndësh
🔼	buton, butoni lart, e kuqe, i kuq, shigjetë
⏫	butoni lart shpejt, e dyfishtë, shigjetë
🔽	buton, butoni poshtë, e kuqe, poshtë, shigjetë
⏬	butoni poshtë shpejt, e dyfishtë, poshtë, shigjetë
⏸	butoni i pauzës, i dyfishtë, ndërprerje, pauzë, vertikal
⏹	butoni i ndalimit, katror, ndaloj
⏺	butoni i regjistrimit, regjistrim, rreth
⏏	butoni i nxjerrjes, nxirr
🎦	film, kamerë, kinema, video
🔅	butoni i zbehjes, e ulët, i ulët, ndriçimi, zbehje
🔆	butoni i ndriçimit, i ndritshëm, ndriçim
📶	antenë, celular, shirit, shiritat e antenës, sinjal
📳	celular, dridhje, modalitet, modaliteti i dridhjeve, telefon
📴	celular, fik celularin, i fikur, joaktiv, telefon
♀	femër, grua, shenja femër
♂	burrë, mashkull, shenja mashkull
⚕	asklepiu, mjekësi, personel mjekësor, simboli mjekësor
♾	pafundësi, pakufi, përgjithmonë, universale
♻	ricikloj, simboli i riciklimit
⚜	shpatore, simbol
🔱	anije, emblemë, emblemë e fuzhnjës tredhëmbëshe, fuzhnjë tredhëmbëshe, vegël
📛	emër, etiketë, etiketë emri
🔰	fillestar, gjethe, shirit, simboli japonez për fillestar
⭕	o, rreth, rreth i madh i trashë
✅	shenja e zgjedhjes e bardhë e trashë, shenjë, zgjedhje
☑	kuti, kutia e votimit me shenjën e zgjedhjes, votim, votë, zgjedhje
✔	shenja e zgjedhjes e trashë, shenjë, zgjedh, zgjedhje
✖	anulo, shenja x e shumëzimit e trashë, shumëzim, shumëzoj, x
❌	anulo, shenja e shumëzimit, shenjë, shumëzim, x
❎	butoni me shenjën e shumëzimit, katror, shenjë
➕	matematikë, plus, shenja plus e trashë
➖	matematikë, minus, shenja minus e trashë
➗	matematikë, ndarje, shenja e pjesëtimit e trashë
➰	lak, lak i përdredhur, përdredhje
➿	dy herë, i dyfishtë, lak, lak i përdredhur dy herë, përdredhje
〽	pjesë, shenja e ndryshimit të pjesës, shenjë
✳	yllth, yllth me tetë cepa me majë
✴	yll, yll me tetë cepa
❇	xixëllim
‼	dy pikëçuditje, pikësim, pikëçuditje, shenjë
⁉	pikëpyetje, pikësim, pikëçuditje, pyetje, shenja e pikëpyetjes dhe pikëçuditjes
❓	pikëpyetje, pikësim, pyetje, shenjë
❔	e konturuar, pikëpyetje e bardhë, pikësim, pyetje, shenjë
❕	e konturuar, pikësim, pikëçuditje, shenjë, shenjë pikëçuditje e bardhë
❗	pikësim, pikëçuditje, shenja e pikëçuditjes, shenjë
〰	e valëzuar, pikësim, vijë, vijë e valëzuar
©	të drejtat e autorit
®	i regjistruar
™	markë tregtare, shenjë
💯	100, njëqind, njëqind pikë, plot, rezultat
🔠	ABCD, fut, fut shkronja latine kapitale, kapitale, latin
🔡	abcd, fut, fut shkronja latine jokapitale, jokapitale, latin
🔢	1234, fut, fut numra, numra
🔣	fut, fut simbole, 〒♪&%
🔤	abc, alfabet, fut, fut shkronja latine, latin
🅰	a, butoni «A», grup gjaku
🆎	ab, butoni «AB», grup gjaku
🅱	b, butoni «B», grup gjaku
🆑	butoni i pastrimit, butoni «CL», cl
🆒	butoni i freskimit, butoni i freskimit «COOL», butoni «COOL», cool, freski
🆓	butoni i lirimit, butoni i lirimit «FREE», butoni «FREE», free, liro
ℹ	i, informacion
🆔	ID, butoni «ID», identitet
Ⓜ	m, rreth, «M» e rrethuar
🆕	buton, butoni «NEW», i ri, new
🆖	buton, butoni «NG», jo mirë, ng
🅾	butoni «O», grup gjaku, o
🆗	OK, buton, butoni «OK», në rregull
🅿	butoni «P», parkim
🆘	butoni «SOS», ndihmë, sos
🆙	buton, butoni «UP!», lart, shenjë
🆚	buton, butoni «VS», kundrejt, kundër, përballë
🈁	butoni «këtu» në japonisht, japonisht, katakana
🈂	butoni «tarifa e shërbimit» në japonisht, japonisht, katakana, «tarifa e shërbimit»
🈷	butoni «shuma mujore» në japonisht, ideograf, «shuma mujore»
🈶	butoni «jo falas» në japonisht, ideograf, japonisht, «jo falas»
🈯	butoni «rezervuar» në japonisht, ideograf, japonisht, «rezervuar»
🉐	butoni «me leverdi» në japonisht, ideograf, japonisht, «me leverdi»
🈹	butoni «ulje çmimi» në japonisht, ideograf, japonisht, «ulje çmimi»
🈚	butoni «falas» në japonisht, ideograf, japonisht, «falas»
🈲	butoni «ndaluar» në japonisht, ideograf, japonisht, «ndaluar»
🉑	butoni «miratuar» në japonisht, ideograf, japonisht, «miratuar»
🈸	butoni «zbatim» në japonisht, ideograf, japonisht, «zbatim»
🈴	butoni «notë kaluese» në japonisht, ideograf, japonisht, «notë kaluese»
🈳	butoni «të lira» në japonisht, ideograf, japonisht, «të lira»
㊗	butoni «urime» në japonisht, ideograf, japonisht, «urime»
㊙	butoni «sekret» në japonisht, ideograf, japonisht, «sekret»
🈺	butoni «hapur për punë» në japonisht, ideograf, japonisht, «hapur për punë»
🈵	butoni «jo të lira» në japonisht, ideograf, japonisht, «jo të lira»
🔴	gjeometrik, i kuq, rreth, rreth i kuq
🔵	blu, gjeometri, rreth, rreth blu
⚪	gjeometrik, rreth, rreth i bardhë
⚫	gjeometri, rreth, rreth i zi
⬜	gjeometrik, katror, katror i madh i bardhë
⬛	gjeometri, katror, katror i madh i zi
◼	gjeometri, katror, katror mesatar i zi
◻	gjeometrik, katror, katror mesatar i bardhë
◽	gjeometrik, katror, katror mesatarisht i vogël i bardhë
◾	gjeometri, katror, katror mesatarisht i vogël i zi
▫	gjeometrik, katror, katror i vogël i bardhë
▪	gjeometri, katror, katror i vogël i zi
🔶	diamant, diamant i madh portokalli, gjeometrik, portokalli
🔷	blu, diamant, diamant i madh blu, gjeometrik
🔸	diamant, diamant i vogël portokalli, gjeometrik, portokalli
🔹	blu, diamant, diamant i vogël blu, gjeometrik
🔺	e kuqe, gjeometrik, i kuq, trekëndësh i kuq i drejtuar lart
