🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
🤟🏻	ILY, ανοιχτόχρωμος τόνος δέρματος, κίνηση σε αγαπώ, κίνηση σε αγαπώ: ανοιχτόχρωμος τόνος δέρματος, χέρι
🤟🏼	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χέρι
🤟🏽	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, χέρι
🤟🏾	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, χέρι
🤟🏿	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, χέρι
✍🏻	ανοιχτόχρωμος τόνος δέρματος, γράφω, σώμα, χέρι, χέρι που γράφει, χέρι που γράφει: ανοιχτόχρωμος τόνος δέρματος
✍🏼	γράφω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χέρι που γράφει, χέρι που γράφει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
✍🏽	γράφω, μεσαίος τόνος δέρματος, σώμα, χέρι, χέρι που γράφει, χέρι που γράφει: μεσαίος τόνος δέρματος
✍🏾	γράφω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χέρι που γράφει, χέρι που γράφει: μεσαίος-σκούρος τόνος δέρματος
✍🏿	γράφω, σκούρος τόνος δέρματος, σώμα, χέρι, χέρι που γράφει, χέρι που γράφει: σκούρος τόνος δέρματος
👏🏻	ανοιχτόχρωμος τόνος δέρματος, παλαμάκια, παλαμάκια: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειροκροτώ
👏🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παλαμάκια, παλαμάκια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειροκροτώ
👏🏽	μεσαίος τόνος δέρματος, παλαμάκια, παλαμάκια: μεσαίος τόνος δέρματος, σώμα, χέρι, χειροκροτώ
👏🏾	μεσαίος-σκούρος τόνος δέρματος, παλαμάκια, παλαμάκια: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χειροκροτώ
👏🏿	παλαμάκια, παλαμάκια: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι, χειροκροτώ
👐🏻	ανοικτά χέρια, ανοικτά χέρια: ανοιχτόχρωμος τόνος δέρματος, ανοιχτό, ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👐🏼	ανοικτά χέρια, ανοικτά χέρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτό, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👐🏽	ανοικτά χέρια, ανοικτά χέρια: μεσαίος τόνος δέρματος, ανοιχτό, μεσαίος τόνος δέρματος, σώμα, χέρι
👐🏾	ανοικτά χέρια, ανοικτά χέρια: μεσαίος-σκούρος τόνος δέρματος, ανοιχτό, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
👐🏿	ανοικτά χέρια, ανοικτά χέρια: σκούρος τόνος δέρματος, ανοιχτό, σκούρος τόνος δέρματος, σώμα, χέρι
🙌🏻	ανοιχτόχρωμος τόνος δέρματος, γιορτή, ζήτω, κίνηση, σηκωμένο, σώμα, χέρι, χέρια ψηλά, χέρια ψηλά: ανοιχτόχρωμος τόνος δέρματος
🙌🏼	γιορτή, ζήτω, κίνηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένο, σώμα, χέρι, χέρια ψηλά, χέρια ψηλά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🙌🏽	γιορτή, ζήτω, κίνηση, μεσαίος τόνος δέρματος, σηκωμένο, σώμα, χέρι, χέρια ψηλά, χέρια ψηλά: μεσαίος τόνος δέρματος
🙌🏾	γιορτή, ζήτω, κίνηση, μεσαίος-σκούρος τόνος δέρματος, σηκωμένο, σώμα, χέρι, χέρια ψηλά, χέρια ψηλά: μεσαίος-σκούρος τόνος δέρματος
🙌🏿	γιορτή, ζήτω, κίνηση, σηκωμένο, σκούρος τόνος δέρματος, σώμα, χέρι, χέρια ψηλά, χέρια ψηλά: σκούρος τόνος δέρματος
🤲🏻	ανοιχτόχρωμος τόνος δέρματος, παλάμες μαζί, παλάμες μαζί: ανοιχτόχρωμος τόνος δέρματος, προσευχή
🤲🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παλάμες μαζί, παλάμες μαζί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, προσευχή
🤲🏽	μεσαίος τόνος δέρματος, παλάμες μαζί, παλάμες μαζί: μεσαίος τόνος δέρματος, προσευχή
🤲🏾	μεσαίος-σκούρος τόνος δέρματος, παλάμες μαζί, παλάμες μαζί: μεσαίος-σκούρος τόνος δέρματος, προσευχή
🤲🏿	παλάμες μαζί, παλάμες μαζί: σκούρος τόνος δέρματος, προσευχή, σκούρος τόνος δέρματος
🙏🏻	ανοιχτόχρωμος τόνος δέρματος, ενωμένα, ευχαριστώ, ζητώ, κίνηση, παρακαλώ, προσευχή, σώμα, υπόκλιση, χέρι, χέρια ενωμένα, χέρια ενωμένα: ανοιχτόχρωμος τόνος δέρματος
🙏🏼	ενωμένα, ευχαριστώ, ζητώ, κίνηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παρακαλώ, προσευχή, σώμα, υπόκλιση, χέρι, χέρια ενωμένα, χέρια ενωμένα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🙏🏽	ενωμένα, ευχαριστώ, ζητώ, κίνηση, μεσαίος τόνος δέρματος, παρακαλώ, προσευχή, σώμα, υπόκλιση, χέρι, χέρια ενωμένα, χέρια ενωμένα: μεσαίος τόνος δέρματος
🙏🏾	ενωμένα, ευχαριστώ, ζητώ, κίνηση, μεσαίος-σκούρος τόνος δέρματος, παρακαλώ, προσευχή, σώμα, υπόκλιση, χέρι, χέρια ενωμένα, χέρια ενωμένα: μεσαίος-σκούρος τόνος δέρματος
🙏🏿	ενωμένα, ευχαριστώ, ζητώ, κίνηση, παρακαλώ, προσευχή, σκούρος τόνος δέρματος, σώμα, υπόκλιση, χέρι, χέρια ενωμένα, χέρια ενωμένα: σκούρος τόνος δέρματος
💅🏻	ανοιχτόχρωμος τόνος δέρματος, βάψιμο νυχιών, βάψιμο νυχιών: ανοιχτόχρωμος τόνος δέρματος, βερνίκι, καλλυντικά, μανικιούρ, νύχι, σώμα, φροντίδα
💅🏼	βάψιμο νυχιών, βάψιμο νυχιών: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, βερνίκι, καλλυντικά, μανικιούρ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νύχι, σώμα, φροντίδα
💅🏽	βάψιμο νυχιών, βάψιμο νυχιών: μεσαίος τόνος δέρματος, βερνίκι, καλλυντικά, μανικιούρ, μεσαίος τόνος δέρματος, νύχι, σώμα, φροντίδα
💅🏾	βάψιμο νυχιών, βάψιμο νυχιών: μεσαίος-σκούρος τόνος δέρματος, βερνίκι, καλλυντικά, μανικιούρ, μεσαίος-σκούρος τόνος δέρματος, νύχι, σώμα, φροντίδα
💅🏿	βάψιμο νυχιών, βάψιμο νυχιών: σκούρος τόνος δέρματος, βερνίκι, καλλυντικά, μανικιούρ, νύχι, σκούρος τόνος δέρματος, σώμα, φροντίδα
👂🏻	ανοιχτόχρωμος τόνος δέρματος, αυτί, αυτί: ανοιχτόχρωμος τόνος δέρματος, σώμα
👂🏼	αυτί, αυτί: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα
👂🏽	αυτί, αυτί: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σώμα
👂🏾	αυτί, αυτί: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σώμα
👂🏿	αυτί, αυτί: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα
👃🏻	ανοιχτόχρωμος τόνος δέρματος, μύτη, μύτη: ανοιχτόχρωμος τόνος δέρματος, σώμα
👃🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μύτη, μύτη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα
👃🏽	μεσαίος τόνος δέρματος, μύτη, μύτη: μεσαίος τόνος δέρματος, σώμα
👃🏾	μεσαίος-σκούρος τόνος δέρματος, μύτη, μύτη: μεσαίος-σκούρος τόνος δέρματος, σώμα
👃🏿	μύτη, μύτη: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα
#⃣	πλήκτρο, πλήκτρο: #
*⃣	πλήκτρο, πλήκτρο: *
🔟	πλήκτρο, πλήκτρο: 10
🇦🇨	σημαία, σημαία: Νήσος Ασενσιόν
🇦🇩	σημαία, σημαία: Ανδόρα
🇦🇪	σημαία, σημαία: Ηνωμένα Αραβικά Εμιράτα
🇦🇫	σημαία, σημαία: Αφγανιστάν
🇦🇬	σημαία, σημαία: Αντίγκουα και Μπαρμπούντα
🇦🇮	σημαία, σημαία: Ανγκουίλα
🇦🇱	σημαία, σημαία: Αλβανία
🇦🇲	σημαία, σημαία: Αρμενία
🇦🇴	σημαία, σημαία: Αγκόλα
🇦🇶	σημαία, σημαία: Ανταρκτική
🇦🇷	σημαία, σημαία: Αργεντινή
