‾	اوور لائن
🍂	پتا, پودا, گرنا, گرے ہوئے پتے
🍃	پتا, پودا, ہوا, ہوا میں پھڑپھڑاتے پتے
🪹	خالی گھونسلہ, گھونسلہ سازی
🪺	انڈوں کے ساتھ گھونسلہ, گھونسلہ سازی
🍄	پودا, کھمبی
🍇	انگور, پھل
🍈	خربوزہ, پھل
🍉	تربوز, پھل
🍊	سنترہ, پھل, چھوٹا سنگترہ
🍋	لیموں, پھل
🍌	پھل, کیلا
🍍	انناس, پھل
🥭	آم, ٹروپیکل, پھل
🍎	سرخ, سرخ سیب, سیب, پھل
🍏	سبز, سبز سیب, سیب, پھل
🍐	ناشپاتی, پھل
🍑	آڑو, پھل
🍒	پھل, چیریاں
🍓	اسٹابری, پھل
🫐	بلبری, بلو بیری, بلو بیریز, بیر, نیلا
🥝	خوراک, پھل, کیوی, کیوی فروٹ
🍅	ٹماٹر, پھل
🫒	زیتون, غذا
🥥	ناریل, پینا کولاڈا, کھجور
🥑	ایوو کیڈو, خوراک, پھل
🍆	بینگن, سبزی
🥔	آلو, خوراک, سبزی
🥕	خوراک, سبزی, گاجر
🌽	پودا, چھلی
🌶️	تیز, تیز مرچ, مرچ, پودا
🫑	سبزی, شملہ مرچ, مرچ
🥒	خوراک, سبزی, سلاد, کھیرا
🥬	بند گوبھی, سلاد پتہ, چینی بند گوبھی, ہرے پتوں والی سبزی
🥦	جنگلی گوبھی, شاخ گوبھی
🧄	ذائقہ, لہسن
🧅	ذائقہ, پیاز
🥜	خوراک, سبزی, مونگ پھلی
🫘	لال لوبیا, پھلی, پھلیاں, کھانا
🌰	شاہ بلوط, شاہ بلوط کا پھل, پودا
🍞	بریڈ, روٹی, نان, ڈبل روٹی
🥐	خوراک, روٹی, فرنچ, ہلال نما, ہلال نما روٹی
🥖	بریڈ, بیگٹ, بیگٹ ڈبل روٹی, خوراک, فرنچ, ڈبل روٹی
🫓	اریپا, لاوش, نان, پیٹا, چپٹی روٹی
🥨	موڑی ہوئی, گانٹھ کی شکل کی بسکٹ
🥯	بیکری, بیگل, شمئیر
🥞	خوراک, پین کیک, پین کیکس
🧇	فولاد, متذبذب, ویفل
🧀	ٹکڑا, پنیر, پنیر کا ٹکڑا
🍖	اسنیک, گوشت, ہڈی, ہڈی پر گوشت
🍗	اسنیک, ٹانگ, چکن, چکن کی ٹانگ
🥩	سوّر کا گوشت, چاپ, گوشت کا ٹکڑا
🥓	خوراک, سور, سور کا نمکین گوشت, نمکین, گوشت
🍔	اسنیک, برگر, ہیم برگر
🍟	اسنیک, فرائز, فرنچ, فرنچ فرائز
🍕	اسنیک, ٹکڑا, پزا, پنیر
🌭	اسنیک, بریڈ, ہاٹ ڈاگ
🥪	سینڈوچ, ڈبل روٹی
🌮	اسنیک, مسالہ, مسالے بھرا پراٹھا, میکسیکن, پراٹھا
🌯	اسنیک, بریٹو, مسالہ, میکسیکن
🫔	لپیٹا ہوا, میکسیکن, ٹمالے
🥙	بھری ہوئی, بھری ہوئی چپاتی, خوراک, چپاتی, کباب
🧆	فلافل, چنا, کوفتہ
🥚	انڈا, خوراک
🍳	انڈا, پکتا ہوا انڈہ, پین
🥘	خوراک, پین, کم گہرا, کم گہرے پین میں خوراک
🍲	برتن, خوراک, خوراک کا برتن
🫕	برتن, سوئس, فانڈی, پنیر, پگھلا ہوا, چاکلیٹ
🥣	اناج, دلیہ, ناشتہ, چمچ اور کٹورا
🥗	خوراک, سبز, سبز سلاد, سلاد
🍿	اسنیک, پاپ کارن
🧈	مکھن, ڈیری
🧂	مصالحہ, نمک, نمک دانی
🥫	ڈبہ, ڈبہ بند کھانا
🍱	بنٹو, بنٹو باکس, ڈبہ
🍘	پاپڑ, چاول, چاولوں کے پاپڑ
🍙	جاپانی, چاول, چاولوں کے بالز, گیند
🍚	پکے ہوئے, پکے ہوئے چاول, چاول
🍛	شوربہ, شوربے والے چاول, چاول
🍜	بھاپ نکالتا پیالہ, نوڈل, پیالہ
🍝	اسپیگٹی, کھانا
🍠	آلو, بُھنا ہوا, بُھنا ہوا میٹھا آلو, میٹھا
🍢	اوڈن, سمندری کھانا, سٹک, کباب
🍣	جاپانی, سوشی, کھانا
🍤	تلا ہوا, تلا ہوا شرمپ, شرمپ
🍥	بگولا بنا مچھلی کا کیک, مچھلی, پیسٹری, کیک
🥮	تہوار, خزاں, چاند نما کیک
🍡	جاپانی, سٹک, میٹھا, ڈینگو
🥟	پاٹ سٹیکر, پکوڑی
🥠	قسمت والا بسکٹ, پروفیسی
🥡	صدف کی بالٹی, پارسل کا ڈبہ
🦀	جانور, کیکڑا
🦞	سمندری غذا, لوبسٹر, پنجے, گاڑھا سوپ
🦐	جھینگا, خوراک
🦑	خوراک, قیر ماہی
🦪	صدفہ, غوطہ خوری, موتی
🍦	برف, سافٹ آئس کریم, میٹھی, نرم, کریم
🍧	برف, تراشی ہوئی, تراشیدہ برف, میٹھی
🍨	آئس کریم, برف, میٹھی, کریم
🍩	میٹھا, ڈونٹ
🍪	میٹھا, کوکی
🎂	جشن, سالگرہ کا کیک, میٹھا, پیسٹری, کیک
🍰	میٹھا, ٹکڑا, پیسٹری, کیک, کیک کا ٹکڑا
🧁	بیکری, میٹھا, کپ کیک
🥧	بھرنا, پائي, پیسری
🍫	بار, میٹھی, چاکلیٹ, چاکلیٹ بار
🍬	میٹھی, کینڈی
🍭	لالی پاپ, میٹھی, کینڈی
🍮	میٹھا, کسٹرڈ
🍯	برتن, شہد, شہد کا برتن, میٹھا
🍼	بوتل, بچہ, دودھ, فیڈر
🥛	دودھ, دودھ کا گلاس, مشروب, گلاس
☕️	چائے, کافی, گرم, گرم کافی
🫖	برتن, پینا, چائے, چائے کا برتن
🍵	ٹی کپ, چائے, کپ, ہینڈل کے بغیر چائے کا کپ
🍶	بار, بوتل, جاپانی شراب, شراب, پینا
🍾	بار, بوتل, پینا, کارک, کارک لگی بوتل
🍷	بار, شراب, شراب کا گلاس, پینا, گلاس
🍸️	بار, پینا, کاک ٹیل, کاک ٹیل گلاس, گلاس
🍹	بار, ٹراپکل, ٹراپکل مشروب, پینا
🍺	بار, بیئر کا مگ, شراب, مگ
🍻	بار, شراب, مگ, ٹکراتے بیئر کے مگ
🥂	آپس میں ٹکراتے گلاس, خوشی منانا, مشروب, ٹکرانا, گلاس
🥃	شراب, وہسکی, وہسکی والا گلاس, گلاس
🫗	انڈیلنا, خالی, مائع بہانا, پینا, گلاس
🥤	جوس, سوڈا, کپ اور اسٹرا
🧋	بلبلوں والی چائے, بلبلہ, دودھ, موتی, چائے
🧃	جوس کا ڈبہ, مشروب کا ڈبہ
🧉	مشروب, ہم پیالہ
🧊	برف کا ٹکڑا, ٹھنڈا
🥢	چینی کانٹا
🍽️	پلیٹ, چھری, چھری کانٹے کے ساتھ پلیٹ, کانٹا
🍴	چھری, کانٹا, کانٹا اور چھری
🥄	چمچ, کھانے کی میز
🔪	آلہ, چھری, کُکنگ, کچن کی چھری
🫙	اسٹور, خالی, مرتبان, مسالا, چٹنی, کنٹینر
🏺	اوزار, ایمفورا, بُرج دِلو, جگ, پانی, ہتھیار
🌍	افریقہ, دنیا, زمین, گلوب, یورپ اور افریقہ کو دکھاتا گلوب
🌎️	امریکہ, امریکہ کو دکھاتا گلوب, دنیا, زمین, گلوب
🌏	آسٹریلیا, ایشیا, ایشیا اور آسٹریلیا کو دکھاتا گلوب, زمین, گلوب
🌐	دنیا, زمین, طول البلد, طول البلد کو دکھاتا گلوب, گلوب
🗺️	دنیا, دنیا کا نقشہ, نقشہ
🗾	جاپان, جاپان کا نقشہ, نقشہ
🧭	قُطب نُما, مقناطیسی, نقشے کی مدد سے راستہ تلاش کرنا, نیویگیشن
🏔️	برف, برف سے ڈھکا پہاڑ, ٹھنڈ, پہاڑ
⛰️	پہاڑ, چٹان
🌋	آتش فشاں, آگ, موسم, پھٹنا, پہاڑ
🗻	فیوجی, ماؤنٹ فیوجی, پہاڑ
🏕️	سفر, پڑاؤ, ڈیرا, کیمپنگ
🏖️	ساحل, ساحل اور چھتری, چھتری
🏜️	بیابان, ریگستان, صحرا
🏝️	جزیرہ, صحرا, صحرائی جزیرہ
🏞️	نیشنل پارک, پارک
🏟️	اسٹیڈیم, میدان, گراؤنڈ
🏛️	عمارت, کلاسیکی, کلاسیکی عمارت
🏗️	تعمیر, عمارت, عمارت کی تعمیر
🧱	اینٹ, اینٹیں, تعمیراتی مادہ, دیوار, گارا
🪨	بھاری, ٹھوس, پتھر, چٹان, گول پتھر
🪵	درخت کی لکڑی, لکڑی, کٹی لکڑی
🛖	جھونپڑی, گنبد نما جھونپڑی, گول گھر, گھر
🏘️	مکانات
🏚️	ویران, ویران گھر کی عمارت, گھر
🏠️	مکان, گھر
🏡	باغ, باغ والا گھر, عمارت, گھر
🏢	آفس کی عمارت, عمارت
🏣	جاپانی, جاپانی پوسٹ آفس, عمارت, پوسٹ
🏤	عمارت, پوسٹ, پوسٹ آفس
🏥	اسپتال, دوائی, عمارت, ڈاکٹر
🏦	بینک, عمارت
🏨	عمارت, ہوٹل
🏩	محبت, محبت کا ہوٹل, ہوٹل
🏪	اسٹور, سہولت, سہولت بخش اسٹور
🏫	اسکول, عمارت
🏬	اسٹور, عمارت, ڈپارٹمنٹ, ڈپارٹمنٹ اسٹور
🏭️	عمارت, فیکٹری
🏯	جاپانی, جاپانی قلعہ, عمارت, قلعہ
🏰	قلعہ, یورپی
💒	شادی, عمارت, گرجہ
🗼	ٹاور, ٹوکیو, ٹوکیو ٹاور
🗽	آزادی, مجسمہ, مجسمہ آزادی
⛪️	عمارت, عیسائیت, کراس, گرجا گھر
🕌	عبادت, عمارت, مسجد, مسلمان
🛕	مندر, ہندو, ہندو مندر
🕍	عبادت گاہ, یہودی, یہودیوں کی عبادت گاہ
⛩️	شنٹو مزار, مذہب, مزار
🕋	عبادت, عمارت, مسلمان, مکہ, کعبہ
⛲️	فاؤنٹين, فواره, پانی کا چشمہ, چشمہ
⛺️	خیمہ, شامیانہ, ڈیرا, کیمپنگ
🌁	دھند, موسم, کُہر آلود
🌃	رات, ستاروں بھری رات, ستارے, موسم
🏙️	اونچی عمارتیں, شہر, عمارت
🌄	سورج, طلوع, موسم, پہاڑ, پہاڑوں پر طلوع آفتاب
🌅	سورج, صبح, طلوع آفتاب, موسم
🌆	سورج, شام, شام کے وقت اونچی عمارتیں, عمارت, موسم
🌇	سورج, عمارت, غروب, غروبِ آفتاب, موسم
🌉	رات, رات کے وقت پُل, موسم, پل
♨️	بھاپ, ندی, گرم, گرم ندی
🎠	جھولا, گھومتے جھولے کا گھوڑا, گھومنا, گھوڑا
🛝	تفریحی پارک, کھیل, کھیل کے میدان کی سلائیڈ
🎡	آسمانی جھولا, جھولا, پارک, پہیہ
🎢	رولر, رولر کوسٹر, پارک, کوسٹر
💈	حجام, حجام کا پول, پول
🎪	سرکس, سرکس کا ٹینٹ, ٹینٹ
🚂	انجن, بھاپ, ریل, ریل کا انجن
🚃	بجلی, ریل گاڑی, پٹری, گاڑی
🚄	تیز رفتار ٹرین, رفتار, ریل, پٹری
🚅	بلٹ, بلٹ کے ناک والی تیز رفتار ٹرین, رفتار, ٹرین
🚆	سواری, ٹرین
🚇️	ریلوے, زیر زمین, میٹرو
🚈	ریلوے, سواری, لائٹ ریل
🚉	اسٹیشن, ریلوے, ٹرین
🚊	سواری, ٹرام
🚝	ریل, سواری, مونو ریل
🚞	ریلوے, ماؤنٹین ریلوے, پہاڑ, گاڑی
🚋	ٹرالی بس, ٹرام, ٹرام کار, گاڑی
🚌	بس, سواری
🚍️	آتی ہوئی, آتی ہوئی بس, بس
🚎	بس, ٹرالی, ٹرالی بس, ٹرام
🚐	بس, سواری, منی بس
🚑️	ایمبولنس, سواری
🚒	انجن, فائر, فائر انجن, ٹرک
🚓	پولیس, پولیس کار, گاڑی
🚔️	آتی ہوئی, آتی ہوئی پولیس کار, پولیس, کار
🚕	سواری, ٹیکسی
🚖	آتی ہوئی, آتی ہوئی ٹیکسی, ٹیکسی
🚗	سواری, کار
🚘️	آتی ہوئی, آتی ہوئی کار, کار
🚙	تفریحی, تفریحی گاڑی, گاڑی
🛻	ٹرک, پک اپ, پک اپ ٹرک
🚚	ٹرک, ڈلیوری, ڈلیوری ٹرک
🚛	جوڑ والی گاڑی, سواری, لاری, ٹرک
🚜	سواری, ٹریکٹر
🏎️	ریس, ریس کی کار, کار, کھیل
🏍️	ریس, سائیکل, موٹر, موٹر سائیکل
🛵	سکوٹر, موٹر, موٹر والا سکوٹر
🦽	دسترس, دستی وہیل چئیر
🦼	دسترس, موٹر والی وہیل چئیر
🛺	آٹو رکشا, ٹُک ٹُک
🚲️	سائیکل, سواری
🛴	سکوٹر, کک, کک سکوٹر
🛹	اسکیٹنگ تختہ, تختہ
🛼	رولر, رولر سکیٹ, سکیٹ
🚏	بس, بس اسٹاپ
🛣️	سڑک, موٹر وے
🛤️	ریلوے, ریلوے ٹریک, ٹرین
🛢️	تیل, تیل کا ڈرم, ڈرم
⛽️	فیول, فیول پمپ, گیس
🛞	دائرہ, ٹائر, پہیہ, گھومنا
🚨	لائٹ, پولیس, پولیس کار کی لائٹ, کار
🚥	اشارہ, افقی ٹریفک لائٹ, لائٹ, ٹریفک
🚦	اشارہ, عمودی ٹریفک لائٹ, لائٹ, ٹریفک
🛑	آٹھ زاویے, رکنا, رکنے کا نشان, نشان
🚧	تعمیر, رکاوٹ
⚓️	آلہ, اینکر, بحری جہاز
🛟	بچانا, تیرنا, تیرنے والی گول ٹیوب, حفاظت, زندگی بچانے والا, زندگی محفوظ کرنے والا
⛵️	بادبانی کشتی, سمندر, کشتی
🛶	چھوٹی, چھوٹی کشتی, ڈونگی, کشتی
🚤	انجن والی کشتی, سواری, کشتی
🛳️	سواری, مسافر, مسافر بحری جہاز, کشتی
⛴️	سواری, فیری, کشتی
🛥️	سواری, موٹر بوٹ
🚢	بحری جہاز, سواری
✈️	سوری, ہوائی جہاز
🛩️	سواری, چھوٹا, چھوٹا ہوائی جہاز, ہوائی جہاز
🛫	روانگی, ہوائی جہاز, ہوائی جہاز کی روانگی
🛬	آمد, ہوائی جہاز, ہوائی جہاز کی آمد
🪂	سکائی ڈائیو, پیرا سیل, پیراشوٹ, ہینگ گلائیڈ
💺	سیٹ, فرنیچر, کرسی
🚁	سواری, ہیلی کاپٹر
🚟	ریلوے, معلق, معلق ریلوے
🚠	پہاڑ, پہاڑی کیبل وے, کیبل
🚡	ٹرام وے, کیبل, گاڑی, ہوائی, ہوائی ٹرام وے
🛰️	آسمان, خلا, خلائی جہاز, سیارہ, سیٹلائٹ
🚀	آسمان, خلا, خلائی جہاز, راکٹ
🛸	اڑن تشتری, نامعلوم اڑن تشتری
🛎️	بیل, بیل ہاپ, بیل ہاپ بیل, ہوٹل
🧳	سامان, سفر, پیکنگ
⌛️	ریت, ریت گھڑی, گھڑی
⏳️	ریت, ریت گھڑی میں گرتی ہوئی ریت, گرتی ہوئی ریت کے ساتھ ریت گھڑی, گھڑی
⌚️	وقت, ٹائم, کلاک, گھڑی
⏰	الارم, الارم کلاک, کلاک
⏱️	اسٹاپ واچ, گھڑی
⏲️	ٹائمر, ٹائمر کلاک, گھڑی
🕰️	مینٹل پیس کلاک, گھڑی
🕛️	12:00, بارہ, بارہ کا وقت, گھڑی
🕧	12:30, بارہ, بارہ بج کر تیس منٹ, تیس, گھڑی
🕐️	1:00, ایک, ایک بجے کا وقت, گھڑی
🕜	1:30, ایک, ایک بج کر تیس منٹ, تیس, گھڑی
🕑️	2:00, دو, دو بجے کا وقت, گھڑی
🕝	2:30, تیس, دو, دو بج کر تیس منٹ, گھڑی
🕒️	3:00, تین, تین بجے کا وقت, گھڑی
🕞	3:30, تیس, تین, تین بج کر تیس منٹ, گھڑی
🕓️	4:00, چار, چار بجے کا وقت, گھڑی
🕟	4:30, تیس, چار, چار بج کر تیس منٹ, گھڑی
🕔️	5:00, پانچ, پانچ بجے کا وقت, گھڑی
🕠	5:30, تیس, پانچ, پانچ بج کر تیس منٹ, گھڑی
🕕️	6:00, چھ, چھ بجے کا وقت, گھڑی
🕡	6:30, تیس, وقت, چھ, چھ بج کر تیس منٹ
🕖️	7:00, سات, سات بجے کا وقت, گھڑی
🕢	07:30, تیس, سات, سات بج کر تیس منٹ, گھڑی
🕗️	08:00, آٹھ, آٹھ بجے کا وقت, گھڑی
🕣	08:30, آٹھ, آٹھ بج کر تیس منٹ, تیس, گھڑی
🕘️	09:00, نو, نو بجے کا وقت, گھڑی
🕤	09:30, تیس, نو, نو بج کر تیس منٹ, گھڑی
🕙️	10:00, دس, دس بجے کا وقت, گھڑی
🕥	10:30, تیس, دس, دس بج کر تیس منٹ, گھڑی
