😀	išsišiepti, išsišiepęs veidas, veidas
🏧	automatinis, bankas, bankomatas, bankomato ženklas, kasininkas
🚮	šiukšliadėžė, šiukšlių metimo į šiukšliadėžes ženklas, šiukšlė
🚰	geriamas, geriamasis vanduo, gerti, vanduo
♿️	neįgaliojo vežimėlio simbolis, pasiekiamumas
🚹️	tualetas, vyras, vyrų tualetas, wc
🚺️	moteris, moterų tualetas, tualetas, wc
🚻	moteris, tualetas, tualeto kambarys, wc
🚼️	kūdikio simbolis, kūdikis, vystyklų keitimas
🚾	tualetas, tualeto patalpa, vanduo, wc
🛂	kontrolė, pasas, pasų kontrolė
🛃	muitinė
🛄	atsiimti, bagažas, bagažo skyrius
🛅	bagažas, lagaminas, paliktas bagažas, spintelė
⚠️	įspėjimas
🚸	eismas, perėja, pėstysis, vaikas, vaikų perėja
⛔️	draudžiama, eismas, ne, uždrausta, įėjimas, įėjimo nėra
🚫	draudžiama, ne, uždrausta, įėjimas
🚳	draudžiama, dviratis, dviračiai draudžiami, ne, transporto priemonė, uždrausta
🚭️	draudžiama, ne, rūkymas, rūkyti draudžiama, uždrausta
🚯	draudžiama, ne, uždrausta, šiukšlinti draudžiama, šiukšlės
🚱	draudžiama, draudžiama gerti vandenį, geriamas, gėrimas, ne, uždrausta, vanduo
🚷	draudžiama, ne, pėstiesiems eiti draudžiama, pėstysis, uždrausta
📵	draudžiama, jokių mobiliųjų telefonų, mobilusis, ne, uždrausta
🔞	18, amžiaus apribojimas, aštuoniolika, draudžiama, ne, nepilnametis, tik pilnamečiams, uždrausta
☢️	radioaktyvu, ženklas
☣️	biorizika, ženklas
⬆️	koordinatė, kryptis, rodyklė, rodyklė į viršų, šiaurė
↗️	kryptis, rodyklė, rodyklė į viršų ir į dešinę, šiaurės rytai
➡️	koordinatė, kryptis, rodyklė, rodyklė į dešinę, rytai
↘️	kryptis, pietryčiai, rodyklė, rodyklė į apačią ir į dešinę
⬇️	koordinatė, kryptis, pietūs, rodyklė, rodyklė į apačią, į apačią
↙️	kryptis, pietvakariai, rodyklė, rodyklė į apačią ir į kairę
⬅️	koordinatė, kryptis, rodyklė, rodyklė į kairę, vakarai
↖️	kryptis, rodyklė, rodyklė į viršų ir į kairę, šiaurės vakarai
↕️	rodyklė, rodyklė į viršų ir į apačią
↔️	rodyklė, rodyklė į kairę ir į dešinę
↩️	rodyklė, rodyklė į dešinę, užlenkta į kairę
↪️	rodyklė, rodyklė į kairę, užlenkta į dešinę
⤴️	rodyklė, rodyklė į dešinę, užlenkta į viršų
⤵️	rodyklė, rodyklė į dešinę, užlenkta į apačią, į apačią
🔃	pagal laikrodžio rodyklę, rodyklė, vertikalios laikrodžio rodyklės kryptimis nukreiptos rodyklės
🔄	prieš laikrodžio rodyklę, prieš laikrodžio rodyklę nukreiptų rodyklių mygtukas, rodyklė
🔙	atgal, rodyklė, rodyklė su užrašu „Back“
🔚	pabaiga, rodyklė, rodyklė su užrašu „End“
🔛	rodyklė, rodyklė su užrašu „On!“, žymė
🔜	greitai, rodyklė, rodyklė su užrašu „Soon“
🔝	rodyklė, rodyklė su užrašu „Top“, viršus, į viršų
🛐	garbinimo vieta, garbinti, religija
⚛️	ateistas, atomas, atomo simbolis
🕉️	Om, hindu, religija
✡️	Dovydas, Dovydo žvaigždė, religija, žvaigždė, žydas, žydų
☸️	Dharmos ratas, budistas, dharma, ratas, religija
☯️	In ir Jang, in, jang, religija, tao, taoizmas
✝️	Romos katalikų kryžius, krikščionis, kryžius, religija
☦️	krikščionis, kryžius, ortodoksų kryžius, religija
☪️	islamas, musulmonas, religija, žvaigždė ir pusmėnulis
☮️	taika, taikos simbolis
🕎	menora, religija, žvakidė, žvakės
🔯	sėkmė, šešiakampė žvaigždė su tašku, žvaigždė
♈️	avinas, zodiakas
♉️	bulius, tauras, zodiakas
♊️	dvyniai, zodiakas
♋️	krabas, vėžys, zodiakas
♌️	liūtas, zodiakas
♍️	mergelė, zodiakas
♎️	pusiausvyra, svarstyklės, teisingumas, zodiakas
♏️	skorpionas, zodiakas
♐️	zodiakas, šaulys
♑️	ožiaragis, ožys, zodiakas
♒️	vandenio ženklas, vanduo, zodiakas
♓️	zodiakas, žuvis, žuvys
⛎	gyvatnešis, gyvatė, nešėjas, zodiakas
🔀	maišyti takelius, rodyklė, sukryžiuota
🔁	kartoti, pagal laikrodžio rodyklę, rodyklė
🔂	kartoti vieną, pagal laikrodžio rodyklę, rodyklė, vieną kartą
▶	dešinė, paleisti, rodyklė, trikampis
⏩	du kartus, greitai, rodyklė, sukti, sukti pirmyn
⏭	kitas takelis, kitas vaizdas, rodyklė, trikampis
⏯	dešinė, paleisti, paleisti arba pristabdyti, pristabdyti, rodyklė, trikampis
◀	atvirkštinė, atvirkštinė tvarka, kairė, rodyklė, trikampis
⏪	atsukti atgal, du kartus, rodyklė, sukti atgal
⏮	ankstesnis takelis, ankstesnis vaizdas, paskutinis takelis, rodyklė, trikampis
🔼	mygtukas, raudonas, rodyklė, į viršų
⏫	dviguba, greitai į viršų, rodyklė
🔽	mygtukas, raudona, rodyklė, į apačią
⏬	dviguba, greitai į apačią, rodyklė, į apačią
⏸️	dviguba, juosta, pauzė, pristabdyti, vertikali
⏹️	kvadratas, stabdyti, sustabdymo mygtukas
⏺️	ratas, įrašas, įrašymo mygtukas
⏏️	išmesti, išmetimo mygtukas
🎦	filmas, kamera, kinas
🔅	blankus, mažas, ryškumas, užtemdymo mygtukas
🔆	ryškumas, ryškumo mygtukas, ryškus
📶	antena, antenos juostos, juosta, mobilusis, signalas, telefonas
📳	mobilusis, režimas, telefonas, vibravimas, vibravimo režimas
📴	išjungti, išjungti mobilųjį telefoną, mobilusis, telefonas
♀️	moteris, moteriškos lyties ženklas
♂️	vyras, vyriškos lyties ženklas
⚕️	asklepijus, medicina, medicinos simbolis, personalas
♾️	amžinai, begalybė, neribotas, universalus
♻️	perdirbimo simbolis, perdirbti
⚜	lelija, lelijos simbolis
🔱	emblema, inkaras, laivas, trišakis, trišakė emblema, įrankis
📛	vardas, vardo ženklelis, ženklelis
🔰	geltonas, japoniškas pradedančiojo simbolis, japonų, lapas, pradedantysis, simbolis, įrankis, žalias
⭕️	o, ratas, ryškus didelis ratas
✅	balta paryškinta varnelė, varnelė, žymė
☑️	balsavimas, balsavimo laukelis su varnele, laukelis, varnelė
✔️	paryškinta varnelė, varnelė, žymė
✖️	atšaukti, dauginti, daugyba, paryškintas daugybos ženklas, x
❌	atšaukti, dauginti, daugyba, kryžiukas, x, žymė
❎	kryžiuko mygtukas, kvadratas, žymė
➕	matematika, paryškintas pliusas, pliusas
➖	matematika, minusas, paryškintas minusas
➗	dalyba, matematika, paryškintas dalybos ženklas
➰	kilpa, kilpelė, raityti
➿	dviguba, dviguba kilpelė, kilpa, raityti
〽️	dalis, dalių apkeitimo ženklas, žymė
✳️	aštuoniakampė žvaigždutė, žvaigždutė
✴️	aštuoniakampė žvaigždė, žvaigždė
❇️	kibirkštis, kibirkštėlė
‼️	du šauktukai, skyryba, šauktukas, žymė
⁉️	klausimas, skyryba, šauktukas, šauktukas ir klaustukas, žymė
❓️	klausimas, klaustukas, skyryba, žymė
❔	baltas klaustukas, klausimas, kontūras, skyryba, žymė
❕	baltas šauktukas, kontūras, skyryba, šauktukas, žymė
❗️	skyryba, šauktukas, žymė
〰️	brūkšnys, skyryba, vingiuotas, vingiuotas brūkšnys
©️	autorių teisės
®️	užregistruota
™️	prekės ženklas, žymė
#⃣	mygtukas, mygtukas: #
*⃣	mygtukas, mygtukas: *
0⃣	mygtukas, mygtukas: 0
1⃣	mygtukas, mygtukas: 1
2⃣	mygtukas, mygtukas: 2
3⃣	mygtukas, mygtukas: 3
4⃣	mygtukas, mygtukas: 4
5⃣	mygtukas, mygtukas: 5
6⃣	mygtukas, mygtukas: 6
7⃣	mygtukas, mygtukas: 7
8⃣	mygtukas, mygtukas: 8
9⃣	mygtukas, mygtukas: 9
🔟	mygtukas, mygtukas: 10
🔠	ABCD, didžiosios, lotyniškos, raidės, įvestis, įvestis didžiosios lotyniškos raidės
🔡	abcd, lotyniškos, mažosios, raidės, įvestis, įvestis mažosios lotyniškos raidės
🔢	1234, skaičiai, įvesties skaičiai, įvestis
🔣	įvesties simboliai, įvestis
🔤	abc, abėcėlė, lotyniškos, raidės, įvestis, įvestis lotyniškos raidės
🅰️	a, mygtukas „A“ (raudona), raudona
🆎	ab, mygtukas „AB“ (raudona), raudona
🅱️	b, mygtukas „B“ (raudona), raudona
🆑	cl, simbolis „CL“
🆒	simbolis „COOL“, vėsu
🆓	nemokama, simbolis „FREE“
ℹ️	i, informacija
🆔	ID, simbolis „ID“, tapatybė
Ⓜ️	apskritimas, m, raidė „M“
🆕	new, simbolis „NEW“
🆖	ng, simbolis „NG“
🅾️	o, raudona, simbolis „O“ (raudona)
🆗	ok, simbolis „OK“
🅿️	automobilių stovėjimas, simbolis „P“
🆘	pagalba, simbolis „SOS“, sos
🆙	mygtukas „Up!“, up, žymė
🆚	palyginti, simbolis „VS“
🈁	hieroglifas, japonų, čia, čia reiškiantis hieroglifas
🈂️	hieroglifas, japonų, paslaugos mokestis, paslaugos mokestį reiškiantis hieroglifas
🈷	hieroglifas, japonų, mėnesio suma, mėnesio sumą reiškiantis hieroglifas
🈶	hieroglifas, japonų, ne nemokamas, ne nemokamą reiškiantis hieroglifas
🈯	hieroglifas, japonų, rezervavimą reiškiantis hieroglifas, rezervuotas
🉐	hieroglifas, japonų, susitarimas, susitarimą reiškiantis hieroglifas
🈹	hieroglifas, japonų, nuolaida, nuolaidą reiškiantis hieroglifas
🈚	hieroglifas, japonų, nemokamai, nemokamumą reiškiantis hieroglifas
🈲	draudimas, draudimą reiškiantis hieroglifas, hieroglifas, japonų
🉑	hieroglifas, japonų, sutikimas, sutikimą reiškiantis hieroglifas
🈸	hieroglifas, japonų, taikymas, taikymą reiškiantis hieroglifas
🈴	bendrumas, bendrumą reiškiantis hieroglifas, hieroglifas, japonų
🈳	hieroglifas, japonų, tuštuma, tuštumą reiškiantis hieroglifas
㊗️	hieroglifas, japonų, pasveikinimą reiškiantis hieroglifas, sveikinimas
㊙️	hieroglifas, japonų, paslaptis, paslaptį reiškiantis hieroglifas
🈺	hieroglifas, japonų, veikimą reiškiantis hieroglifas, veikti
🈵	hieroglifas, japonų, pilnatvė, pilnatvę reiškiantis hieroglifas
🔴	geometrija, raudonas, raudonas rutulys, rutulys
🔵	geometrija, mėlynas, mėlynas rutulys, rutulys
⚫️	geometrija, juodas rutulys, rutulys
⚪️	baltas rutulys, geometrija, rutulys
⬛️	geometrija, juodas didelis kvadratas, kvadratas
⬜️	baltas didelis kvadratas, geometrija, kvadratas
◼️	geometrija, juodas vidutinis kvadratas, kvadratas
◻️	baltas vidutinis kvadratas, geometrija, kvadratas
◾️	geometrija, juodas vidutiniškai mažas kvadratas, kvadratas
◽️	baltas vidutiniškai mažas kvadratas, geometrija, kvadratas
▪️	geometrija, juodas mažas kvadratas, kvadratas
▫️	baltas mažas kvadratas, geometrija, kvadratas
🔶	deimantas, didelis oranžinis deimantas, geometrija, oranžinis
🔷	deimantas, didelis mėlynas deimantas, geometrija, mėlynas
🔸	deimantas, geometrija, mažas oranžinis deimantas, oranžinis
🔹	deimantas, geometrija, mažas mėlynas deimantas, mėlynas
🔺	geometrija, raudona, raudonas į viršų nukreiptas trikampis
🔻	geometrija, raudona, raudonas į apačią nukreiptas trikampis, į apačią
💠	deimantas, deimantas su tašku, geometrija, komiksas, viduje
🔘	akutė, geometrija, mygtukas
🔳	baltas kvadratinis mygtukas, geometrija, kontūras, kvadratas, mygtukas
🔲	geometrija, juodas kvadratinis mygtukas, kvadratas, mygtukas
🏁	langeliai, lenktynės, vėliava langeliais
🚩	postas, trikampė vėliava
🎌	japonų, kryžius, sukryžiuotos vėliavos, šventė
🏴	juoda vėliava, mojavimas
🏳️	balta vėliava, mojavimas
🏳‍🌈	vaivorykštinė vėliava, vaivorykštė
🏴‍☠	Linksmasis Rodžeris, lobis, piratas, piratų vėliava, plėšikauti
🇦🇨	vėliava, vėliava: Dangun Žengimo sala
🇦🇩	vėliava, vėliava: Andora
🇦🇪	vėliava, vėliava: Jungtiniai Arabų Emyratai
🇦🇫	vėliava, vėliava: Afganistanas
🇦🇬	vėliava, vėliava: Antigva ir Barbuda
🇦🇮	vėliava, vėliava: Angilija
🇦🇱	vėliava, vėliava: Albanija
🇦🇲	vėliava, vėliava: Armėnija
🇦🇴	vėliava, vėliava: Angola
🇦🇶	vėliava, vėliava: Antarktida
🇦🇷	vėliava, vėliava: Argentina
🇦🇸	vėliava, vėliava: Amerikos Samoa
🇦🇹	vėliava, vėliava: Austrija
🇦🇺	vėliava, vėliava: Australija
🇦🇼	vėliava, vėliava: Aruba
🇦🇽	vėliava, vėliava: Alandų Salos
🇦🇿	vėliava, vėliava: Azerbaidžanas
🇧🇦	vėliava, vėliava: Bosnija ir Hercegovina
🇧🇧	vėliava, vėliava: Barbadosas
🇧🇩	vėliava, vėliava: Bangladešas
🇧🇪	vėliava, vėliava: Belgija
🇧🇫	vėliava, vėliava: Burkina Fasas
🇧🇬	vėliava, vėliava: Bulgarija
🇧🇭	vėliava, vėliava: Bahreinas
🇧🇮	vėliava, vėliava: Burundis
🇧🇯	vėliava, vėliava: Beninas
🇧🇱	vėliava, vėliava: Sen Bartelemi
🇧🇲	vėliava, vėliava: Bermuda
🇧🇳	vėliava, vėliava: Brunėjus
🇧🇴	vėliava, vėliava: Bolivija
🇧🇶	vėliava, vėliava: Karibų Nyderlandai
🇧🇷	vėliava, vėliava: Brazilija
🇧🇸	vėliava, vėliava: Bahamos
🇧🇹	vėliava, vėliava: Butanas
🇧🇻	vėliava, vėliava: Buvė Sala
🇧🇼	vėliava, vėliava: Botsvana
🇧🇾	vėliava, vėliava: Baltarusija
🇧🇿	vėliava, vėliava: Belizas
🇨🇦	vėliava, vėliava: Kanada
🇨🇨	vėliava, vėliava: Kokosų (Kilingo) Salos
🇨🇩	vėliava, vėliava: Kongas-Kinšasa
🇨🇫	vėliava, vėliava: Centrinės Afrikos Respublika
🇨🇬	vėliava, vėliava: Kongas-Brazavilis
🇨🇭	vėliava, vėliava: Šveicarija
🇨🇮	vėliava, vėliava: Dramblio Kaulo Krantas
🇨🇰	vėliava, vėliava: Kuko Salos
🇨🇱	vėliava, vėliava: Čilė
🇨🇲	vėliava, vėliava: Kamerūnas
🇨🇳	vėliava, vėliava: Kinija
🇨🇴	vėliava, vėliava: Kolumbija
🇨🇵	vėliava, vėliava: Klipertono sala
🇨🇷	vėliava, vėliava: Kosta Rika
🇨🇺	vėliava, vėliava: Kuba
🇨🇻	vėliava, vėliava: Žaliasis Kyšulys
🇨🇼	vėliava, vėliava: Kiurasao
🇨🇽	vėliava, vėliava: Kalėdų Sala
🇨🇾	vėliava, vėliava: Kipras
🇨🇿	vėliava, vėliava: Čekija
🇩🇪	vėliava, vėliava: Vokietija
🇩🇬	vėliava, vėliava: Diego Garsija
🇩🇯	vėliava, vėliava: Džibutis
🇩🇰	vėliava, vėliava: Danija
🇩🇲	vėliava, vėliava: Dominika
🇩🇴	vėliava, vėliava: Dominikos Respublika
🇩🇿	vėliava, vėliava: Alžyras
🇪🇦	vėliava, vėliava: Seuta ir Melila
🇪🇨	vėliava, vėliava: Ekvadoras
🇪🇪	vėliava, vėliava: Estija
🇪🇬	vėliava, vėliava: Egiptas
🇪🇭	vėliava, vėliava: Vakarų Sachara
🇪🇷	vėliava, vėliava: Eritrėja
🇪🇸	vėliava, vėliava: Ispanija
🇪🇹	vėliava, vėliava: Etiopija
🇪🇺	vėliava, vėliava: Europos Sąjunga
🇫🇮	vėliava, vėliava: Suomija
🇫🇯	vėliava, vėliava: Fidžis
🇫🇰	vėliava, vėliava: Folklando Salos
🇫🇲	vėliava, vėliava: Mikronezija
🇫🇴	vėliava, vėliava: Farerų Salos
🇫🇷	vėliava, vėliava: Prancūzija
🇬🇦	vėliava, vėliava: Gabonas
🇬🇧	vėliava, vėliava: Jungtinė Karalystė
🇬🇩	vėliava, vėliava: Grenada
🇬🇪	vėliava, vėliava: Gruzija
🇬🇫	vėliava, vėliava: Prancūzijos Gviana
🇬🇬	vėliava, vėliava: Gernsis
🇬🇭	vėliava, vėliava: Gana
🇬🇮	vėliava, vėliava: Gibraltaras
🇬🇱	vėliava, vėliava: Grenlandija
🇬🇲	vėliava, vėliava: Gambija
🇬🇳	vėliava, vėliava: Gvinėja
🇬🇵	vėliava, vėliava: Gvadelupa
🇬🇶	vėliava, vėliava: Pusiaujo Gvinėja
🇬🇷	vėliava, vėliava: Graikija
🇬🇸	vėliava, vėliava: Pietų Džordžija ir Pietų Sandvičo salos
🇬🇹	vėliava, vėliava: Gvatemala
🇬🇺	vėliava, vėliava: Guamas
🇬🇼	vėliava, vėliava: Bisau Gvinėja
🇬🇾	vėliava, vėliava: Gajana
🇭🇰	vėliava, vėliava: Ypatingasis Administracinis Kinijos Regionas Honkongas
🇭🇲	vėliava, vėliava: Herdo ir Makdonaldo Salos
🇭🇳	vėliava, vėliava: Hondūras
🇭🇷	vėliava, vėliava: Kroatija
🇭🇹	vėliava, vėliava: Haitis
🇭🇺	vėliava, vėliava: Vengrija
🇮🇨	vėliava, vėliava: Kanarų salos
🇮🇩	vėliava, vėliava: Indonezija
🇮🇪	vėliava, vėliava: Airija
🇮🇱	vėliava, vėliava: Izraelis
🇮🇲	vėliava, vėliava: Meno Sala
🇮🇳	vėliava, vėliava: Indija
🇮🇴	vėliava, vėliava: Indijos Vandenyno Britų Sritis
🇮🇶	vėliava, vėliava: Irakas
🇮🇷	vėliava, vėliava: Iranas
🇮🇸	vėliava, vėliava: Islandija
🇮🇹	vėliava, vėliava: Italija
🇯🇪	vėliava, vėliava: Džersis
🇯🇲	vėliava, vėliava: Jamaika
🇯🇴	vėliava, vėliava: Jordanija
🇯🇵	vėliava, vėliava: Japonija
🇰🇪	vėliava, vėliava: Kenija
🇰🇬	vėliava, vėliava: Kirgizija
🇰🇭	vėliava, vėliava: Kambodža
🇰🇮	vėliava, vėliava: Kiribatis
🇰🇲	vėliava, vėliava: Komorai
🇰🇳	vėliava, vėliava: Sent Kitsas ir Nevis
🇰🇵	vėliava, vėliava: Šiaurės Korėja
🇰🇷	vėliava, vėliava: Pietų Korėja
🇰🇼	vėliava, vėliava: Kuveitas
🇰🇾	vėliava, vėliava: Kaimanų Salos
🇰🇿	vėliava, vėliava: Kazachstanas
🇱🇦	vėliava, vėliava: Laosas
🇱🇧	vėliava, vėliava: Libanas
🇱🇨	vėliava, vėliava: Sent Lusija
🇱🇮	vėliava, vėliava: Lichtenšteinas
🇱🇰	vėliava, vėliava: Šri Lanka
🇱🇷	vėliava, vėliava: Liberija
🇱🇸	vėliava, vėliava: Lesotas
🇱🇹	vėliava, vėliava: Lietuva
🇱🇺	vėliava, vėliava: Liuksemburgas
🇱🇻	vėliava, vėliava: Latvija
🇱🇾	vėliava, vėliava: Libija
🇲🇦	vėliava, vėliava: Marokas
🇲🇨	vėliava, vėliava: Monakas
🇲🇩	vėliava, vėliava: Moldova
🇲🇪	vėliava, vėliava: Juodkalnija
🇲🇫	vėliava, vėliava: Sen Martenas
🇲🇬	vėliava, vėliava: Madagaskaras
🇲🇭	vėliava, vėliava: Maršalo Salos
🇲🇰	vėliava, vėliava: Makedonija
🇲🇱	vėliava, vėliava: Malis
🇲🇲	vėliava, vėliava: Mianmaras (Birma)
🇲🇳	vėliava, vėliava: Mongolija
🇲🇴	vėliava, vėliava: Ypatingasis Administracinis Kinijos Regionas Makao
🇲🇵	vėliava, vėliava: Marianos Šiaurinės Salos
🇲🇶	vėliava, vėliava: Martinika
🇲🇷	vėliava, vėliava: Mauritanija
🇲🇸	vėliava, vėliava: Montseratas
🇲🇹	vėliava, vėliava: Malta
🇲🇺	vėliava, vėliava: Mauricijus
🇲🇻	vėliava, vėliava: Maldyvai
🇲🇼	vėliava, vėliava: Malavis
🇲🇽	vėliava, vėliava: Meksika
🇲🇾	vėliava, vėliava: Malaizija
🇲🇿	vėliava, vėliava: Mozambikas
🇳🇦	vėliava, vėliava: Namibija
🇳🇨	vėliava, vėliava: Naujoji Kaledonija
🇳🇪	vėliava, vėliava: Nigeris
🇳🇫	vėliava, vėliava: Norfolko sala
🇳🇬	vėliava, vėliava: Nigerija
🇳🇮	vėliava, vėliava: Nikaragva
🇳🇱	vėliava, vėliava: Nyderlandai
🇳🇴	vėliava, vėliava: Norvegija
🇳🇵	vėliava, vėliava: Nepalas
🇳🇷	vėliava, vėliava: Nauru
🇳🇺	vėliava, vėliava: Niujė
🇳🇿	vėliava, vėliava: Naujoji Zelandija
🇴🇲	vėliava, vėliava: Omanas
🇵🇦	vėliava, vėliava: Panama
🇵🇪	vėliava, vėliava: Peru
🇵🇫	vėliava, vėliava: Prancūzijos Polinezija
🇵🇬	vėliava, vėliava: Papua Naujoji Gvinėja
🇵🇭	vėliava, vėliava: Filipinai
🇵🇰	vėliava, vėliava: Pakistanas
🇵🇱	vėliava, vėliava: Lenkija
🇵🇲	vėliava, vėliava: Sen Pjeras ir Mikelonas
🇵🇳	vėliava, vėliava: Pitkerno salos
🇵🇷	vėliava, vėliava: Puerto Rikas
