😀	Gesiicht, Grinsen, Grinsgesiicht
🛥️	Boot, Motorboot
🚢	Boot, Passagéier, Schëff
✈️	Fliger
🛩️	Fliger, klenge Fliger
🛫	Check-In, Depart, Departen, Fliger, Fligersdepart
🛬	Arrivéeeën, Fliger, Fligersarrivée, landend, ukommend
💺	Sëtz, Sëtzplaz
🚁	Gefier, Helikopter
🚟	Bunn, Schwiefbunn, schwiewen
🚠	Bierg, Biergseelbunn, Gondel, Kabel, Seelbunn
🚡	Bunn, Gondel, Kabel, Loft, Loftseelbunn, Seel, Tram, Waggon
🛰️	Satellit, Weltall
🚀	Rakéit, Weltall
🛸	UFO
🛎️	Hotel, Hotelpage, Hotelpageschell, Schell
⌛️	Auer, Sand, Sandauer, Zäit
⏳️	Auer, Sand, Sandauer, Sandauer mat lafendem Sand, Zäit
⌚️	Auer
⏰	Auer, Wecker
⏱️	Auer, Stoppauer
⏲️	Auer, Timer
🕰️	Auer, Kamäinauer
🕛️	00, 12, 12:00, Auer, Auerzäit, zwielef, zwielef Auer
🕧	12, 12:30, 30, Auer, drësseg, eng, hallwer, hallwer eng, zwielef
🕐️	00, 1, 1:00, Auer, Auerzäit, eng, eng Auer
🕜	1, 1:30, 30, Auer, drësseg, eng, hallwer, hallwer zwou, zwou
🕑️	00, 2, 2:00, Auer, Auerzäit, zwou, zwou Auer
🕝	2, 2:30, 30, Auer, dräi, drësseg, hallwer, hallwer dräi, zwou
🕒️	00, 3, 3:00, Auer, Auerzäit, dräi, dräi Auer
🕞	3, 30, 3:30, Auer, dräi, drësseg, hallwer, hallwer véier, véier
🕓️	00, 4, 4:00, Auer, Auerzäit, véier, véier Auer
🕟	30, 4, 4:30, Auer, drësseg, fënnef, hallwer, hallwer fënnef, véier
🕔️	00, 5, 5:00, Auer, Auerzäit, fënnef, fënnef Auer
🕠	30, 5, 5:30, Auer, drësseg, fënnef, hallwer, hallwer sechs, sechs
🕕️	00, 6, 6:00, Auer, Auerzäit, sechs, sechs Auer
🕡	30, 6, 6:30, Auer, drësseg, hallwer, hallwer siwen, sechs, siwen
🕖️	00, 7, 7:00, Auer, Auerzäit, siwen, siwen Auer
🕢	30, 7, 7:30, Auer, aacht, drësseg, hallwer, hallwer aacht, siwen
🕗️	00, 8, 8:00, Auer, Auerzäit, aacht, aacht Auer
🕣	30, 8, 8:30, Auer, aacht, drësseg, hallwer, hallwer néng, néng
🕘️	00, 9, 9:00, Auer, Auerzäit, néng, néng Auer
🕤	30, 9, 9:30, Auer, drësseg, hallwer, hallwer zéng, néng, zéng
🕙️	00, 10, 10:00, Auer, Auerzäit, zéng, zéng Auer
🕥	10, 10:30, 30, Auer, drësseg, eelef, hallwer, hallwer eelef, zéng
🕚️	00, 11, 11:00, Auer, Auerzäit, eelef, eelef Auer
🕦	11, 11:30, 30, Auer, drësseg, eelef, hallwer, hallwer zwielef, zwielef
🌑	Mound, Neimound, däischter
🌒	Mound, Séchelmound, Séchelmound am éischte Véierel, éischte Véierel
🌓	Hallef, Mound, Véierel, zouhuelenden Hallefmound
🌔	Mound, Séchelmound, Séchelmound am zweete Véierel, zweete Véierel
🌕️	Mound, Vollmound, voll
🌖	Mound, Séchelmound, Séchelmound am drëtte Véierel, drëtte Véierel
🌗	Hallef, Mound, Véierel, ofhuelenden Hallefmound
🌘	Mound, Séchelmound, Séchelmound am leschte Véierel, leschte Véierel
🌙	Mound, Moundséchel, Séchel
🌚	Gesiicht, Mound, Neimoundgesiicht
🌛	Gesiicht, Hallef, Mound, Véierel, zouhuelenden Hallefmoundgesiicht
🌜️	Gesiicht, Hallef, Mound, Véierel, ofhuelenden Hallefmoundgesiicht
🌡️	Thermometer, Wieder
☀️	Sonn, Stralen, hell, sonneg
🌝	Gesiicht, Mound, Vollmoundgesiicht, hell, voll
🌞	Gesiicht, Sonn, Sonnegesiicht, hell
⭐️	Stär, mëttelgrousse wäisse Stär
🌟	Stär, blénkeg, blénken, glënnerend, liichtend, liichtende Stär
🌠	Stär, Stäreschnäiz, falend
🌌	Mëllechstrooss, Weltall
☁️	Wieder, Wollek
⛅️	Sonn, Sonn hannert Wolleken, Wollek
⛈️	Donnerwieder, Reen, Wollek, Wollek mat Blëtz a Reen
🌤️	Sonn, Sonn hannert kleng Wolleken, Wollek
🌥️	Sonn, Sonn hannert grouss Wolleken, Wollek
🌦️	Reen, Sonn, Sonn hannert Reewollek, Wollek
🌧️	Reen, Wollek, Wollek mat Reen
🌨️	Schnéi, Wollek, Wollek mat Schnéi, kal
🌩️	Blëtz, Wollek, Wollek mat Blëtz
🌪️	Tornado, Wirbelwand, Wollek
🌫️	Niwwel, Wollek
🌬️	Gesiicht, Wand, Wandgesiicht, Wollek, blosen
🌀	Schwindel, Taifun, Twister, Zyklon
🌈	Reebou, Reen
🌂	Kleedung, Prabbeli, Reen, zoue Prabbeli
☂️	Kleedung, Prabbeli, Reen
☔️	Drëps, Kleedung, Prabbeli, Prabbeli mat Reendrëpsen, Reen
⛱️	Prabbeli, Prabbeli um Buedem, Reen, Sonn
⚡️	Blëtz, Gefor, Héichspannung, Spannung, Stroum, elektresch
❄️	Schnéi, Schnéiflack, kal
☃️	Schnéi, Schnéimännchen, kal
⛄️	Schnéi, Schnéimännchen, Schnéimännchen ouni Schnéi, kal
☄️	Komet, Weltall
🔥	Feier, Flam, Handwierksgeschir
💧	Comic, Drëps, Drëpschen, Schweess, kal
🌊	Ozean, Waasser, Waasserwell, Well
🎃	Feier, Halloween, Halloweenkürbis, Kürbis, Lampion
🎄	Bam, Chrëschtbeemchen, Chrëschtdag, Feier
🎆	Feier, Freedefeier
🎇	Feier, Fonken, Freedefeier, Späizmännchen
✨	Fonken, Stär, fonkelend Stären
🎈	Ballon, Feier
🎉	Feier, Iwwerraschung, Party, Pochette, Pochette-surprise, Surprise
🎊	Ball, Feier, Konfetti, Konfettiball
🎋	Bam, Banner, Feier, Tanabata-Bam, japanesch
🎍	Bambus, Dänn, Dännendekoratioun, Feier, japanesch
🎎	Feier, Festival, Japanesch Poppen, Popp, japanesch
🎏	Feier, Fändel, Kaarp, Koi-Kaarpe-Fändelen
🎐	Feier, Klack, Klackespill, Wand, Wandspill
🎑	Feier, Mound, Moundbetruechtungszeremonie, Zeremonie
🎀	Band, Feier
🎁	Feier, Geschenk, Kaddo, Këscht, agepak
🎗️	Band, Commemoratioun, Commemoratiounsband, Erënnerung, Feier
🎟️	Billjee, Entrée, Entréesticket, Ticket
🎫	Billjee, Entrée
🎖️	Feier, Medail, Militär, Militärmedail
🏆️	Coupe, Präis
🏅	Medail, Sportsmedail
🥇	Gold, Goldmedail, Medail, éischt Plaz
🥈	Medail, Sëlwer, Sëlwermedail, zweet Plaz
🥉	Bronze, Bronzemedail, Medail, drëtt Plaz
⚽️	Ball, Fussball
⚾️	Ball, Baseball
🏀	Ball, Basketball, Kuerf, Reef
🏐	Kugel, Spill, Volleyball
🏈	American Football, Ball, Fussball, amerikanesch
🏉	Ball, Fussball, Rugby
🎾	Ball, Rackett, Tennis
🎳	Bowling, Kugel, Spill
🏏	Ball, Cricketmatch, Match, Schléier, Spill
🏑	Ball, Feld, Feldhockey, Hockey, Match, Schléier, Spill
🏒	Hockey, Match, Puck, Schléier, Spill, Äis, Äishockey
🏓	Ball, Dëschtennis, Match, Pingpong, Rackett, Schléier, Spill
🏸	Badminton, Fiederball, Match, Rackett, Spill, Volant
🥊	Boxen, Boxhändchen, Händchen
🥋	Judo, Kampfsport, Kampfsportstenue, Karate, Taekwondo, Tenue
🥅	Goal, Goalnetz, Netz
⛳️	Golf, Golflach mat Fändel, Lach
⛸️	Schlittschong, Äis
🎣	Aangel, Fësch, Fëscheraangel
🎽	Laftricot, Schärp, Sport, Tricot, lafen
🎿	Schnéi, Ski, Skier
🛷	Schlitt
🥌	Curling-Steen, Spill, Steen
🎯	Dart, Match, Mëtt, Spill, Volltreffer, Zilscheif, an d’Mëtt getraff, treffen
🔫	Pistoul, Revolver, Utensil, Waff
🎱	8, 8-Ball, Billardkugel, Billiard, Kugel, Spill, aacht
🔮	Fantasie, Kristall, Kristallkugel, Kugel, Mäerchen, Utensil, Zukunft
🎮️	Controller, Manette, Spill, Videospill
🕹️	Joystick, Spill, Videospill
🎰	Automat, Spill, Spillautomat
🎲	Spill, Spillwierfel, Wierfel, wierfelen
♠️	Kaart, Schëppen, Spill
♥️	Häerzer, Kaart, Spill
♦️	Kaart, Rauten, Spill
♣️	Kaart, Kräizer, Spill
🃏	Jocker, Joker, Kaart, Spill
🀄️	Mahjong, Rouden Draach (Mahjong), Spill, rout
🎴	Blumm, Kaart, Spill, Spillkaarte mat Blummen, japanesch, spillen
🎭️	Konscht, Mask, Theater, duerstellend, duerstellend Konscht
🖼️	Bild, Konscht, Musée, Rumm, Tableau, agerummt Bild
🎨	Bild, Faarfpalett, Konscht, Musée, Palett, Tableau
👓️	A, Brëll, Kleedung
🕶️	A, Brëll, Sonnebrëll, däischter
👔	Kleedung, Krawatt
👕	Hiem, Kleedung, T-Shirt
👖	Box, Jeans, Kleedung
🧣	Hals, Schal
🧤	Hand, Händchen
🧥	Jackett, Mantel
🧦	Collant, Strëmp
👗	Kleedung, Rack
👘	Kimono, Kleedung
👙	Bikini, Kleedung, schwammen
👚	Fra, Fraekleedung, Kleedung
👛	Geld, Kleedung, Portmonni, Suen
👜	Kleedung, Portmonni, Posch
👝	Clutch, Kleedung, Posch
🛍️	Akafstuten, Hotel, Shopping, Tut, akafen
🎒	Posch, Schoul, Schoulsak
👞	Kleedung, Mann, Männerschong, Schong
👟	Kleedung, Lafschong, Schong, Sport, Turnschlappen
👠	Fra, Kleedung, Schong, Tallek, Tallekeschong
👡	Fra, Fraesandal, Kleedung, Sandal, Schong
👢	Fra, Fraestiwwel, Kleedung, Schong, Stiwwel
👑	Kinnek, Kinnigin, Kleedung, Kroun
👒	Fra, Fraenhutt, Hutt, Kleedung
🎩	Hutt, Kleedung, Zilinder, héich
🎓️	Diplomiwwerreechung, Diplomiwwerreechungshutt, Feier, Hutt, Kap, Kleedung
🧢	Baseballkap, Kap mat Bild
⛑️	Gesiicht, Helm, Hutt, Hëllef, Kräiz, Rettungsdéngscht
📿	Gebiet, Ketten, Kleedung, Kranz, Pärelen, Relioun, Rousekranz
💄	Kosmetik, Lëppestëft, Schmink
💍	Diamant, Rank
💎	Diamant, Juwel, Steen
🔇	Lautsprecher, Lautsprecher op lautlos, keen Toun, lautlos, roueg
🔈️	Lautsprecher op lues agestallt, lues
🔉	Lautsprecher op mëttel agestallt, mëttel
🔊	Lautsprecher op haart agestallt, haart
📢	Lautsprecher, haart, ëffentlech Adress
📣	Megafon, ufeierend
📯	Post, Posttroter, Troter
🔔	Klack, Schell
🔕	Klack, duerchgestrach, duerchgestrache Klack, keen Toun, lautlos, neen, net, roueg, verbueden
🎼	Musek, Partitioun
🎵	Musek, Museksnout, Nout
🎶	Musek, Museksnouten, Nout, Nouten
🎙️	Mikro, Musek, Studio, Studiosmikro
🎚️	Musek, Niveau, Reegler
🎛️	Knäppercher, Musek, Steierung, Steierungsknäppercher
🎤	Karaoke, Mikro
🎧️	Kopfhörer
📻️	Radio, Video
🎷	Instrument, Musek, Sax, Saxofon
🎸	Gittar, Instrument, Musek
🎹	Instrument, Keyboard, Musek, Piano
🎺	Instrument, Musek, Trompett
🎻	Gei, Instrument, Musek
🥁	Bengelen, Musek, Trommel
📱	Funk, Handy, Mobil, Telefon
📲	Feil, Funk, Handy, Handy mat feil, Mobil, Telefon, Uruff, empfänken
☎️	Telefon
📞	Hörer, Telefon, Telefonshörer
📟️	Pager
📠	Fax
🔋	Batterie
🔌	Stecker, Stroum, elektresch
💻️	Computer, Laptop, PC, perséinlech
🖥️	Computer, Desktop, Desktopcomputer
🖨️	Computer, Drécker
⌨️	Computer, Tastatur
🖱️	Computer, Computermaus
🖲️	Computer, Trackball
💽	Computer, Disk, Minidisk, optesch
💾	Computer, Disk, Diskett
💿️	CD, Computer, Disk, optesch
📀	Blu-ray, Computer, DVD, Disk, optesch
🎥	Film, Kamera, Kino
🎞️	Film, Filmklappen, Kino, Klappen
📽️	Film, Filmprojekter, Kino, Projekter, Video
🎬️	Film, Filmklapp, Klapp
📺️	Fernseh, TV, Video
📷️	Fotoapparat, Video
📸	Blëtz, Flash, Fotoapparat, Fotoapparat mat Blëtz, Kamera, Video
📹️	Kamera, Video, Videokamera
📼	Kassett, VHS, Video, Videokassett
🔍	Glas, Lupp, Utensil, no lénks geriicht Lupp, sichen
🔎	Glas, Lupp, Utensil, no riets geriicht Lupp, sichen
🕯️	Käerz, Luucht
💡	Bir, Comic, Iddi, Liicht, Luucht, elektresch
🔦	Apparat, Luucht, Täsch, Täscheluucht, elektresch
🏮	Bar, Lampion, Lanter, Luucht, roude Lampion, rout
📔	Buch, Deckel, Notizblock, dekoréiert, dekoréierten Notizblock
📕	Buch, zou, zouent Buch
📖	Buch, oppen, oppent Buch
📗	Buch, gréng, gréngt Buch
📘	Buch, blo, blot Buch
📙	Buch, orange, oranget Buch
📚️	Bicher, Buch
📓	Notizblock
📒	Haaptbuch, Notizblock
📃	Dokument, Kréngel, Säit, opgerullt, opgerullte Säit
📜	Pabeier, Schrëftrullo
📄	Dokument, Säit, bedréckt Säit
📰	Neiegkeeten, Pabeier, Zeitung
🗞	Neiegkeeten, Pabeier, Zeitung, gerullt, opgerullt Zeitung
📑	Lieszeechen, Lieszeechestickeren, Markéierung, Stickeren, Zeechen
🔖	Lieszeechen, Zeechen
🏷️	Etikett
💰️	Dollar, Geld, Geldsak, Sak, Suen
💴	Bank, Geld, Geldschäin, Rechnung, Schäin, Suen, Währung, Yen
💵	Bank, Dollar, Geld, Geldschäin, Rechnung, Schäin, Suen, Währung
💶	Bank, Euro, Geld, Geldschäin, Rechnung, Schäin, Suen, Währung
💷	Bank, Geld, Geldschäin, Pound, Rechnung, Schäin, Suen, Währung
💸	Bank, Dollar, Flilleken, Geld, Geldschäin, Geldschäiner mat Flilleken, Rechnung, Schäin, Suen, fléien
💳️	Bank, Geld, Kaart, Kredit, Kreditkaart, Suen
💹	Bank, Cours, Diagramm, Geld, Maart, Marché, Steierung, Suen, Tendenz, Währung, Yen, steigen, steigend, steigende Coursdiagramm mat Yen
✉️	Bréif, E-Mail, Enveloppe
📧	Bréif, E-Mail, Post
📨	Bréif, E-Mail, Enveloppe, Post, antreffend, antreffende Bréif, emailen, empfänken
📩	Bréif, E-Mail, Enveloppe, Enveloppe mat Feil, Feil, Post, emailen, erausgoend, no ënnen, schécken
📤️	Boîte, Bréif, Fach, Fach fir erausgoend Post, Post, erausgoend, schécken
📥️	Boîte, Bréif, Fach, Fach fir erakommend Post, Inbox, Post, empfänken
📦️	Këscht, Pak
📫️	Bréifboîte, Bréifkëscht, Post, zou, zoue Bréifkëscht mat Fändel no uewen
📪️	Bréifboîte, Bréifkëscht, Post, no ënnen, zou, zoue Bréifkëscht mat Fändel no ënnen
📬️	Bréifboîte, Bréifkëscht, Post, oppe Bréifkëscht mat Fändel no uewen, oppen
📭️	Bréifboîte, Bréifkëscht, Post, no ënnen, oppe Bréifkëscht mat Fändel no ënnen, oppen
📮	Bréifboîte, Bréifkëscht, Post
🗳️	Këscht, Urn, Urn mat Stëmmziedel
✏️	Bläistëft
✒️	Bic, Fieder, Spëtz, schwaarz Fieder
🖋️	Bic, Füllfieder
🖊️	Bic
🖌️	Pinsel, molen
🖍️	Faarf
📝	Bläistëft, Memo
💼	Aktekoffer
📁	Dossier, Fichier, Fichiersdossier
📂	Dossier, Fichier, oppen, oppene Fichiersdossier
🗂️	Index, Intercalairen, Kaart
📅	Datum, Kalenner
📆	Kalenner, Ofräisskalenner
🗒️	Block, Notiz, Réngelcher, Réngelchersnotizblock
🗓️	Block, Kalenner, Réngelcher, Réngelcherskalenner
📇	Index, Indexkaart, Kaart, Rolodex
📈	Diagramm, Grafik, Steigerung, Tendenz, steigend, steigenden Diagramm
📉	Diagramm, Grafik, Tendenz, senkend, senkenden Diagramm
📊	Balken, Balkendiagramm, Diagramm, Grafik
📋️	Notizbriet
📌	Punaise
📍	Punaise, ronn Punaise
📎	Bürosklamer
🖇️	Bürosklamer, verbonne Bürosklameren, verbonnen
📏	Lineal, riicht
📐	Dräieck, Lineal, Zeechen, Zeechendräieck
✂️	Handwierksgeschir, Schéier, schneiden
🗃️	Fichier, Fichierskëscht, Kaart, Këscht
🗄️	Fichier, Fichiersschaf, Schaf, klasséieren
🗑️	Dreckskëscht
🔒️	zou, zouent Schlass
🔓️	Schlass, entspären, oppen, oppent Schlass, zou
🔏	Bic, Fieder, Schlass, Tënt, privat, zou, zouent Schlass mat Bic
🔐	Schlass, Schlëssel, sécher, zou, zouent Schlass mat Schlëssel
🔑	Passwuert, Schlass, Schlëssel
🗝️	Hiwäis, Schlass, Schlëssel, al, ale Schlëssel
🔨	Handwierksgeschir, Hummer
⛏️	Grouf, Handwierksgeschir, Piosch
⚒️	Handwierksgeschir, Hummer, Hummer a Piosch, Piosch
🛠️	Handwierksgeschir, Hummer, Hummer a Schrauweschlëssel, Schrauwenzéier, Schrauweschlëssel
🗡️	Dolch, Messer, Waff
⚔️	Schwäerter, Waff, gekräizt, gekräizt Schwäerter
💣️	Bomm, Comic
🏹	Bou, Bou mat Feiler, Bouschéissen, Bouschéisser, Feil, Schütze, Stärzeechen, Utensil, Waff
🛡️	Schëld, Waff
🔧	Handwierksgeschir, Schrauwenzéier, Schrauweschlëssel
🔩	Handwierksgeschir, Mudder, Mudder a Schrauf, Schrauf
⚙️	Handwierksgeschir, Zännrad
🗜️	Handwierksgeschir, Kompresser, Schraufstack
⚖️	Apparat, Gewiicht, Gläichgewiicht, Justiz, Riichter, Stärzeechen, Wo
🔗	Glidd
⛓️	Ketten
⚗️	Alembique, Chimie, Handwierksgeschir
🔬	Apparat, Mikroskop, Wëssenschaft
🔭	Apparat, Teleskop, Wëssenschaft
📡	Antenn, Satellitt, Satellittenantenn, Teller
💉	Dokter, Medezin, Nol, Sprëtz, Utensil, krank
💊	Dokter, Medezin, Pëll, krank
🚪	Dier
🛏️	Bett, Hotel, schlofen
🛋️	Couche, Couche a Luucht, Hotel, Luucht
🚽	Toilett
🚿	Dusch, Waasser
🛁	Bidden, Buedbidden
🛒	Akafsweenchen, Shopping, Weenchen, akafen
🚬	Zigarett, fëmmen
⚰️	Doud, Sarg
⚱️	Begriefnis, Doud, Urn, Äschen
🗿	Gesiicht, Moai-Statu, Moyai, Statu
🏧	ATM, Bancomat, Bank, ophiewen
🚮	Dreck, Poubelle, Poubelleszeechen
🚰	Drénkwaasser, Waasser, drénkbar, drénken
♿️	Rollstullzeechen, Zougank
🚹️	Mann, Männer, Männertoilett, Toilett, WC
🚺️	Fra, Fraen, Fraentoilett, Toilett, WC
🚻	Toilett, Toiletten, WC
🚼️	Bëbee, Bëbeeszeechen, wéckelen
🚾	Toilett, Toiletten, WC, WC-Zeechen, Waasser
🛂	Kontroll, Pass, Passkontroll
🛃	Douane
🛄	Ausgab, Gepäck, Gepäckausgab
🛅	Casier, Gepäck, Gepäckschléissfach, Schléissfach
⚠️	Warnung
🚸	Foussgänger, Kand, Verkéier, eriwwergoen, opgepasst Kanner
⛔️	Accès, Verkéier, keen, keen Accès, neen, net, verbueden
🚫	Accès, keen, neen, verbueden
🚳	Vëlo, keng, keng Vëloen, neen, net, verbueden
🚭️	Fëmme verbueden, fëmmen, neen, net, verbueden
🚯	Poubelle, keng, keng Poubelle, neen, net, verbueden
🚱	Waasser, keen, keen Drénkwaasser, net drénkbar
🚷	Foussgänger, Foussgänger verbueden, neen, net, verbueden
📵	Funk, Handy, Handye verbueden, Mobil, Telefon, keen, neen, net, verbueden
🔞	18, Altersbeschränkung, neen, net, uechzéng, verbueden, ënner, ënner uechzéng Joer verbueden
☢️	Zeechen, radioaktiv
☣️	Zeechen, Ëmweltgefor
⬆️	Feil, Feil no uewen, Himmelsrichtung, Norden, Richtung
↗️	Feil, Feil no uewen a riets, Himmelsrichtung, Nordosten, Richtung
➡️	Feil, Feil no riets, Himmelsrichtung, Osten, Richtung
↘️	Feil, Feil no ënnen a riets, Himmelsrichtung, Richtung, Südosten
⬇️	Feil, Feil no ënnen, Himmelsrichtung, Richtung, Süden, no ënnen
↙️	Feil, Feil no ënnen a lénks, Himmelsrichtung, Richtung, Südwesten
⬅️	Feil, Feil no lénks, Himmelsrichtung, Richtung, Westen
↖️	Feil, Feil no uewen a lénks, Himmelsrichtung, Nordwesten, Richtung
↕️	Feil no uewen an ënnen, Feiler
↔️	Feil no lénks a riets, Feiler
↩️	Feiler, Rietsfeil mat Lénkskéier
↪️	Feiler, Lénksfeil mat Rietskéier
⤴️	Feiler, Rietsfeil mat Kéier no uewen
⤵️	Feil, Rietsfeil mat Kéier no ënnen, no ënnen
🔃	Feil, an Zärerichtung, opzéien, vertikal Feiler an Zärerichtung
🔄	Feil, a géigegesat Richtung, counterclockwise, géint Zärerichtung, vertikal Feiler géint Zärerichtung
🔙	Feil, ZERÉCK-Feil, zeréck
🔚	ENN-Feil, Enn, Feil
🔛	Feil, Markéierung, UN!-Feil, un
🔜	Feil, GESCHWËNN-Feil, geschwënn
🔝	Feil, TOP-Feil, Top, no uewen
🛐	Gotteshaus, Relioun, Veréierung
⚛️	Atheist, Atom, Atomzeechen
🕉️	Hindu, OM, Relioun
✡️	David, Davidstär, Judd, Relioun, Stär, jiddesch
☸️	Buddhist, Dharma, Dharma-Rad, Rad, Relioun
☯️	Relioun, Tao, Taoist, Yang, Yin, Yin-Yang
✝️	Kräiz, Relioun, chrëschtlech, latäinescht Kräiz
☦️	Kräiz, Relioun, chrëschtlech, orthodoxt Kräiz
☪️	Islam, Moslem, Relioun, Stär an Hallefmound
☮️	Fridden, Friddenszeechen
🕎	Käerzestänner, Menorah, Relioun
🔯	Gléck, Stär, sechszackege Stär mat Punkt an der Mëtt
♈️	Stärzeechen, Widder, Widder (Stärzeechen)
♉️	Ochs, Stärzeechen, Stéier
♊️	Stärzeechen, Zwilling
♋️	Kriibs, Kriibs (Stärzeechen), Stärzeechen
♌️	Léif, Stärzeechen
♍️	Jongfra, Stärzeechen
♎️	Geriicht, Justiz, Stärzeechen, Wo, Wo (Stärzeechen)
♏️	Skorpioun, Skorpioun (Stärzeechen), Stärzeechen
♐️	Bouschéisser, Schütze, Stärzeechen
♑️	Gees, Steebock, Stärzeechen
♒️	Stärzeechen, Träger, Waasser, Waassermann
♓️	Fësch, Fësch (Stärzeechen), Stärzeechen
⛎	Schlaang, Schlaangenträger, Schlaangenträger (Ophiuchus), Stärzeechen, Träger
🔀	Feil, Zoufallslecture-Knäppchen, gekräizt
🔁	Feil, Widderhuelknäppchen, an Zärerichtung, widderhuelen
🔂	Feil, Widderhuelknäppche fir ee Lidd, an Zärerichtung, eemol
▶	Dräieck, Feil, Ofspillknäppchen, ofspillen, riets
⏩	Feil, Schnellvirlafknäppchen, Virlaf, duebel, schnell
⏭	Dräieck, Feil, Knäppche „Nächst Lidd“, nächst Kapitel, nächst Lidd
⏯	Dräieck, Feil, Ofspill- oder Pausknäppchen, ofspillen, pausen, riets
◀	Dräieck, Feil, Récklaf, Récklafknäppchen, lénks
⏪	Feil, Récklaf, Schnellrécklafknäppchen, duebel
⏮	Dräieck, Feil, Knäppchen „Lescht Lidd“, viregt Kapitel, viregt Lidd
🔼	Feil, Knäppchen, Knäppchen „No uewen“, rout
⏫	Feil, Knäppchen „Séier no uewen“, duebel
🔽	Feil, Knäppchen, Knäppchen „No ënnen“, no ënnen, rout
⏬	Feil, Knäppchen „Séier no ënnen“, duebel, no ënnen
⏸️	Paus, Pausknäppchen, Stréch, duebel, vertikal
⏹️	Quadrat, Stop, Stoppknäppchen
⏺️	Krees, Opnamknäppchen, ophuelen
⏏️	Auswerfknäppchen, auswerfen
🎦	Film, Kamera, Kino
🔅	Dimmerknäppchen, Hellegkeet, dimmen, niddereg
🔆	Hellegkeet, Ophellknäppchen, hell
📶	Balken, Empfang, Empfangbalken, Funk, Handy, Mobil, Signal, Telefon
📳	Funk, Handy, Mobil, Modus, Telefon, Vibratioun, Vibratiounsmodus
📴	Funk, Handy, Handy aus, Mobil, Telefon, aus
♀️	Fra, weiblecht Zeechen
♂️	Mann, männlecht Zeechen
✖️	Multiplikatioun, fettgedrécktent Multiplikatiounszeechen, multiplizéieren, ofbriechen, x
➕	Mathematik, Plus, fettgedrécktent Pluszeechen
➖	Mathematik, Minus, fettgedrécktent Minuszeechen
➗	Divisioun, Mathematik, fettgedrécktent Divisiounszeechen
‼️	Ausruff, Interpunktioun, Zeechen, duebelt Ausruffzeechen
⁉️	Ausruff, Ausrufffragezeechen, Fragezeechen, Fro, Interpunktioun, Zeechen
❓️	Fragezeechen, Fro, Interpunktioun, Zeechen
❔	Fro, Interpunktioun, Kontur, Zeechen, wäisst Fragezeechen
❕	Ausruff, Interpunktioun, Kontur, Zeechen, wäisst Ausruffzeechen
❗️	Ausruff, Ausruffzeechen, Interpunktioun, Zeechen
〰️	Interpunktioun, Stréch, gewellt, gewellte Stréch
💱	Bank, Geld, Suen, Wiesselcours, Währung
💲	Dollar, Geld, Suen, Währung, déckt Dollarzeechen
⚕️	Asklepios, Medezin, Personal, medezinescht Symbol
♻️	Recycling-Zeechen, recyléieren
⚜	Lilie
🔱	Anker, Dräizack, Handwierksgeschir, Ofzeechen, Schëff
📛	Numm, Nummschëld, Schëld
🔰	Blat, Ufänger, Ufängerzeechen (Japan), Wopen, giel, gréng, japanesch
⭕️	Krees, groussen décke Krees, o
✅	Kreepchen, Krop, fettgedréckte wäisse Kreepchen
☑️	Kreepchen, Krop, Këscht, Urn, Urn mat Kreepchen
✔️	Kreepchen, Krop, fettgedréckte Kreepchen
❌	Kräizzeechen, Multiplikatioun, Zeechen, multiplizéieren, ofbriechen, x
❎	Quadrat, X-Knäppchen, Zeechen
➰	Kréngel, Schleef
➿	Kréngel, Schleef, duebel, duebel Schleef
〽️	Deelzeechen, Zeechen, deelen
✳️	Asterisk, aachtzackege Stärchen
✴️	Stär, aachtzackege Stär
❇️	Fonken
©️	Copyright
®️	agedroen
™️	Markenzeechen, TM, Trademark, Zeechen
🔠	ABCD, Buschtawen, Eingab, Groussbuschtawen (Latäin), grouss, latäin
🔡	Buschtawen, Eingab, Klengbuschtawen (Latäin), abcd, kleng, latäin
