🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
📌	ac, fixare, pioneză, piuneză
📍	ac cu gămălie, ac cu gămălie rotundă, bold, piuneză
📎	agrafă, agrafă de hârtie, hârtie
📏	linie, margine dreaptă, măsurare, riglă
📐	echer, linie, măsurare, triunghi
🔏	confidențialitate, lacăt, lacăt cu stilou, peniță, stilou
🔐	cheie, lacăt, lacăt închis cu cheie, securizat, siguranță
🔑	cheie, lacăt, parolă
🔨	ciocan, instrument
🔫	armă, armă de foc, pistol, revolver
🏹	Săgetător, arc, arc și săgeată, arcaș, armă, săgeată, zodiac
🔧	cheie de piulițe, cheie fixă, instrument
🔩	instrument, piuliță, șurub, șurub și piuliță
🔗	conexiune, legătură, link, verigă, za
🧰	cutie, instrument, mecanic, trusă de scule, unealtă
🧲	atracție, magnet, magnetic, potcoavă
🧪	chimie, chimist, eprubetă, experiment, laborator
🧫	bacterii, bilogie, biolog, cultură, laborator, vas Petri
🧬	ADN, biolog, evoluție, genetică, genă, viață
🔬	cercetare, instrument, microscop, știință
🔭	cercetare, instrument, telescop, știință
📡	antenă, antenă satelit, comunicare, satelit
💉	ac, doctor, injecție, seringă, siringă, tratament
💊	doctor, medicament, pastilă, pilulă, tratament
🚪	ușă
🚽	toaletă
🚿	apă, duș
🛁	baie, cadă
🧴	cremă, flacon de loțiune, loțiune, protecție solară, șampon
🧷	ac de siguranță, scutec
🧹	curățenie, măturat, mătură, vrăjitoare
🧺	agricultură, coș, picnic, rufe
🧻	hârtie de toaletă, hârtie igienică, sul de hârtie
🧼	clăbuc, curățenie, săpun, îmbăiere
🧽	absorbant, burete, curățenie, poros
🧯	foc, stingere, stingător de incendiu, înăbușire
🛒	coș, cumpărături, cărucior, cărucior de cumpărături
🚬	fum, fumat, scrum, țigară
🗿	insula paștelui, statuie, statuie moai
🏧	atm, automat bancar, bancomat, simbol pentru bancomat
🚮	coș de gunoi, folosiți coșul de gunoi, gunoi, simbol pentru folosiți coșul de gunoi
🚰	apă, apă potabilă, hidratare, potabilă
🚻	baie, closet, toaletă, toaletă mixtă, wc
🚾	bărbați, closet, toaletă, wc
🛂	control, control pașapoarte, pașaport
🛃	punct vamal, vamă
🛄	bagaje, recuperare, recuperare bagaje
🛅	bagaje, depozitare bagaje, dulap, valize
🚸	copii, pietonal, trafic, traversare, trecere, trecere copii
🚫	interdicție, interzis, intrare, nu
🚳	bicicletă, fără biciclete, interdicție, interzis, interzis accesul cu bicicleta
🚯	gunoi, interdicție, nu, nu aruncați gunoi pe jos
🚱	apă, apă nepotabilă, nepotabilă
🚷	interdicție, interzis, interzis accesul pietonilor, nu, pietoni
📵	interdicție, interzis, mobil, nu, telefoanele mobile sunt interzise, telefon
🔞	18, interdicție, interzis, interzis sub 18 ani, minori, nu, restricție vârstă
🔃	reîncărcare, sensul acelor de ceasornic, săgeți, săgeți verticale în sens orar
🔄	antiorar, buton cu săgeți în sens antiorar, invers, sens invers acelor de ceasornic
🔙	săgeată, săgeată cu textul BACK, înapoi
🔚	final, săgeată, săgeată cu textul END
🔛	marcaj, săgeată, săgeată cu textul ON!
🔜	curând, săgeată, săgeată cu textul SOON
🔝	sus, săgeată, săgeată cu textul TOP
🛐	cult, lăcaș, lăcaș de cult, religie
🕎	menorah, religie, sfeșnic
🔯	noroc, stea, stea cu șase colțuri și punct în centru
⛎	ofiucus, zodia Ofiucus, zodiac, zodie, șarpe
🔀	amestecare, buton de redare aleatorie, săgeți, încrucișare
🔁	buton de repetare, repetare, sens orar, săgeți
🔂	buton de repetare unică, o dată, repetare, sens orar, unic
▶	buton de redare, dreapta, redare, săgeată, triunghi
⏩	buton de derulare rapidă înainte, dublu, repede înainte, săgeată, înainte
⏭	buton pentru melodia următoare, melodia următoare, scena următoare, săgeată, triunghi, următorul
⏯	buton de redare sau suspendare, dreapta, săgeată, triunghi
◀	buton de inversare, inversare, stânga, săgeată, triunghi
⏪	buton de derulare rapidă înapoi, dublu, săgeată, triunghi, înapoi
⏮	buton pentru melodia anterioară, melodia anterioară, scena anterioară, săgeată, triunghi, înapoi
🔼	buton pentru sus, sus, săgeată, triunghi
⏫	buton pentru repede sus, dublu, repede, sus, săgeată, triunghi
🔽	buton pentru jos, jos, săgeată, triunghi
⏬	buton pentru repede jos, dublu, jos, repede, săgeată, triunghi
🎦	cameră, cinema, film, filmare, peliculă
🔅	buton de scădere a luminozității, luminozitate, scădere
🔆	buton de creștere a luminozității, creștere, luminozitate
📶	bare, bare de semnal, rețea, semnal, telefon mobil
📳	celular, mobil, modul vibrare, telefon, vibrare, vibrație
📴	dezactivare, mobil, telefon, închidere telefoane mobile
⚜	Franța, crin, fleur de lis, floare de crin stilizată, regalitate
🔱	corabie, emblemă trident, furcă, instrument, maritim
📛	ecuson, ecuson cu nume, legitimație, nume
🔰	Japonia, japonez, simbol japonez pentru începător, începător
✅	alb, bifă, bifă albă îngroșată
❌	anulare, semnul x, x, închidere, înmulțire
❎	buton, buton x, pătrat, x
➕	adunare, matematică, plus, semn plus îngroșat
➖	matematică, minus, scădere, semn minus îngroșat
➗	matematică, semnul împărțirii îngroșat, împărțire
➰	buclă, buclă ondulată, cârlionț, onduleu
➿	buclă, buclă dublă, buclă ondulată dublă, dublu, onduleu
❔	contur, punctuație, semn, semnul întrebării alb, întrebare
❕	contur, exclamație, punctuație, semn, semnul exclamării alb
💯	100, maxim, o sută de puncte, scor
🔠	ABCD, introducere, introducere majuscule latine, latine, litere, majuscule
🔡	abcd, introducere, introducere minuscule latine, latine, litere, majuscule
🔢	123, cifre, introducere, introducere numere, numere
🔣	introducere, introducere simboluri, simboluri, 〒♪&%
🔤	abc, alfabet, introducere, introducere litere latine, latine, litere
🆎	ab, buton AB (grupă sanguină), grupă sanguină
🆑	buton CL, cl
🆒	buton cu textul COOL, cool
🆓	buton cu textul FREE, gratis
🆔	buton ID, id, identitate
🆕	buton cu textul NEW, nou
🆖	buton NG, ng
🆗	OK, buton cu textul OK
🆘	S.O.S., ajutor, buton S.O.S.
🆙	buton, buton cu textul UP!, exclamare, sus
🆚	buton cu textul VS, versus, vs.
🈁	buton cu semnificația „aici” în japoneză, japozeză, katakana, „aici”
🈷	buton cu semnificația „valoare lunară” în japoneză, ideogramă, japoneză, „valoare lunară”
🈶	buton cu semnificația „contra cost” japoneză, buton cu semnificația „contra cost” în japoneză, ideogramă, japoneză, „contra cost”
🈯	buton cu semnificația „rezervat” în japoneză, ideogramă, japoneză, „rezervat”
🉐	buton cu semnificația „ocazie” în japoneză, ideogramă, japoneză, „ocazie”
🈹	buton cu semnificația „reducere” în japoneză, ideogramă, japoneză, „reducere”
🈚	buton cu semnificația „gratis” în japoneză, ideogramă, japoneză, „gratis”
🈲	buton cu semnificația „interzis” în japoneză, ideogramă, japoneză, „interzis”
🉑	buton cu semnificația „acceptabil” în japoneză, ideogramă, japoneză, „acceptabil”
🈸	buton cu semnificația „aplicare” în japoneză, ideogramă, japoneză, „aplicare”
🈴	buton cu semnificația „notă de trecere” în japoneză, ideogramă, japoneză, „notă de trecere”
🈳	buton cu semnificația „locuri libere” în japoneză, ideogramă, japoneză, „locuri libere”
🈺	buton cu semnificația „deschis pentru afaceri” în japoneză, ideogramă, japoneză, „deschis pentru afaceri”
🈵	buton cu semnificația „fără locuri libere” în japoneză, ideogramă, japoneză, „fără locuri libere”
🔴	cerc, cerc roșu, geometric, roșu
🔵	albastru, cerc, cerc albastru, geometric
🔶	geometric, portocaliu, romb, romb portocaliu mare
🔷	albastru, geometric, romb, romb albastru mare
🔸	geometric, portocaliu, romb, romb portocaliu mic
🔹	albastru, geometric, romb, romb albastru mic
🔺	geometric, roșu, triunghi, triunghi roșu cu vârful în sus
🔻	geometric, jos, roșu, triunghi, triunghi roșu cu vârful în jos
💠	bandă desenată, geometric, interior, romb, romb cu punct în centru
🔘	buton, buton radio, geometric, radio
🔲	buton pătrat negru, geometric, negru, pătrat
🔳	buton pătrat alb, contur, geometric, pătrat
🏁	curse, steag, steag cu pătrățele, steag în carouri
🚩	roșu, steag, steag triunghiular, triunghi
🎌	Japonia, steaguri încrucișate, sărbătorire, încrucișare
🏴	fluturând, steag negru
🏳‍🌈	curcubeu, steag curcubeu
🏴‍☠	comoară, pirați, pradă, steag cu cap de mort, steagul piraților
©️	autor, copyright, drept, drepturi de autor
®️	marcă înregistrată, înregistrat
‼️	dublu, exclamație, punctuație, semn, semn dublu de exclamare
⁉️	exclamație, punctuație, semn de exclamare și întrebare, întrebare
™️	comercială, marcă, marcă comercială
ℹ️	i, informații
↔️	săgeată, săgeată dreapta-stânga
↕️	săgeată, săgeată sus-jos
↖️	direcție, intercardinal, nord-vest, săgeată, săgeată orientată în stânga-sus
↗️	direcție, intercardinal, nord-est, săgeată, săgeată orientată în dreapta-sus
↘️	direcție, intercardinal, sud-est, săgeată, săgeată orientată în dreapta-jos
↙️	direcție, intercardinal, sud-vest, săgeată, săgeată orientată în stânga jos
↩️	săgeată, săgeată dreapta curbată spre stânga
↪️	săgeată, săgeată stânga curbată spre dreapta
⌚️	ceas, ceas de mână
⌛️	clepsidră, clepsidră cu nisipul scurs, nisip, temporizator, timp
⌨️	computer, tastatură, taste
⏏️	buton, buton de ejectare, ejectare
⏱️	ceas, cronometru
⏲️	ceas, temporizator
⏳️	clepsidră, clepsidră cu nisip care se scurge, curgere, nisip, temporizator, timp
⏸️	buton de suspendare, două bare, pauză, vertical, întrerupere
⏹️	buton de oprire, pătrat, stop
⏺️	buton, buton de înregistrare, cerc
Ⓜ️	cerc, litera M într-un cerc, m
▪️	geometric, negru, pătrat, pătrat negru mic
▫️	alb, geometric, pătrat, pătrat alb mic
◻️	alb, geometric, pătrat, pătrat alb mediu
◼️	geometric, negru, pătrat, pătrat negru mediu
◽️	alb, geometric, pătrat, pătrat alb mediu spre mic
◾️	geometric, negru, pătrat, pătrat negru mediu spre mic
☀️	lumină, raze, soare, strălucitor, însorit
☁️	meteo, nor, vreme, înnorat
☂️	accesoriu, ploaie, umbrelă
☃️	frig, om, om de zăpadă, zăpadă
☄️	cometă, spațiu
☎️	fix, telefon
☑️	bifă, casetă, casetă de votare bifată, vot
☔️	picături, ploaie, umbrelă, umbrelă cu picături de ploaie
☕️	băutură, băutură fierbinte, cafea, ceai, ceașcă, fierbinte
☘️	plantă, trifoi
☝️	deget, deget arătător îndreptat în sus, indicator, sus
☠️	craniu, craniu cu oase încrucișate, față, moarte, monstru, oase încrucișate
☢️	radioactiv, radioactivitate, simbol
☣️	biologic, pericol, risc, risc biologic, simbol
☦️	creștinism, cruce, cruce ortodoxă, ortodoxie, religie
☪️	islamism, musulman, musulmană, religie, stea și semilună
☮️	pace, semnul păcii
☯️	religie, taoism, yang, yin, yin yang
☸️	budism, dharma, religie, roata dharma, roata dharmei, roată
☹️	față, față tristă, față încruntată, tristețe, încruntare
☺️	contur, față, față zâmbitoare, relaxare, zâmbet
♀️	femeie, feminin, semn feminin
♂️	bărbat, masculin, semn masculin
♈️	berbec, zodia Berbec, zodiac, zodie
♉️	taur, zodia Taur, zodiac, zodie
♊️	gemeni, zodia Gemeni, zodiac, zodie
♋️	rac, zodia Rac, zodiac, zodie
♌️	leu, zodia Leu, zodiac, zodie
♍️	fecioară, zodia Fecioară, zodiac, zodie
♎️	balanță, justiție, zodia Balanță, zodiac, zodie
♏️	scorpion, zodia Scorpion, zodiac, zodie
♐️	arcaș, săgetător, zodia Săgetător, zodiac, zodie
♑️	capricorn, zodia Capricorn, zodiac, zodie
♒️	vărsător, zodia Vărsător, zodiac, zodie
♓️	pești, zodia Pești, zodiac, zodie
♟️	consumabil, de sacrificiu, pion de șah, șah
♠️	cărți, inimă neagră, joc, pică
♣️	cărți, joc, treflă
♥️	cupă, cărți, inimă roșie, joc
♦️	caro, cărți, joc, romb
♨️	aburi, apă, căldură, izvoare termale, izvor
♻️	reciclare, simbolul pentru reciclare
♾️	etern, infinit, nelimitat, universal
♿️	accesibilitate, simbol pentru cărucior cu rotile, simbol pentru scaun cu rotile
⚒️	cheie, ciocan și daltă, instrument, târnăcop
⚓️	ancorare, ancoră, instrument, navă, vas
⚔️	arme, spade, săbii încrucișate, încrucișare
⚕️	Esculap, medicamente, personal, simbol medical
⚖️	balanță, cântar, egalitate, instrument, justiție, zodiac
⚗️	alambic, chimie, instrument
⚙️	instrument, roată dințată, roată zimțată, rotiță dințată, rotiță zimțată
⚛️	ateu, atom, simbol de atom, simbol pentru atom
⚠️	avertisment, avertizare
⚡️	electricitate, fulger, pericol, voltaj, înaltă tensiune
⚪️	alb, cerc, cerc alb, geometric
⚫️	cerc, cerc negru, geometric, negru
⚰️	coșciug, moarte, înmormântare
⚱️	cenușă, moarte, urnă, urnă funerară
⚽️	fotbal, minge, minge de fotbal, sport
⚾️	baseball, minge, sport
⛄️	frig, om, om de zăpadă fără zăpadă, zăpadă
⛅️	nor, soare, soare în nori, vreme
⛈️	fulger, nor, nor cu fulger și ploaie, ploaie, tunet, vreme
⛏️	instrument, minerit, pământ, târnăcop
⛑️	ajutor, alb, cască, cască de pompier salvator, cruce, roșu
⛓️	lanț, lanțuri, zale
⛔️	acces, acces interzis, interdicție, nu, trafic
⛩️	altar, altar shinto, cult, religie, sanctuar, shinto, templu
⛪️	biserică, clădire, creștin, creștinism, cruce, rugăciune
⛰️	masiv, munte, stâncă
⛱️	ploaie, soare, umbrelă, umbrelă pe sol
⛲️	apă, fântână, fântână arteziană
⛳️	gaură, golf, steag, steag în gaură la golf
⛴️	feribot, navă, pasageri, transport
⛵️	barcă, barcă cu pânze, iaht, navigație, pânze
⛷️	persoană care schiază, schi, schior, zăpadă
⛸️	gheață, patină, patină de gheață
⛹️	minge, om, persoană care bate mingea
⛺️	camping, cort
⛽️	alimentare, benzină, benzinărie, combustibil, diesel, pompă, pompă de combustibil
✂️	croitorie, foarfece, instrument, tăiere
✈️	aeronavă, avion, zbor
✉️	e-mail, plic, scrisoare
✌️	degete, mână, semnul victoriei, v, victorie
✍️	mână, mână scriind, scris
✏️	creion
✒️	peniță, peniță neagră, stilou
✔️	bifă, bifă îngroșată
✖️	anulare, semnul înmulțirii îngroșat, x, înmulțire
✝️	creștinism, cruce, cruce latină, religie
✡️	David, evreu, iudaism, stea, steaua lui David
✳️	asterisc, asterisc cu opt colțuri
✴️	stea, stea cu opt colțuri
❄️	frig, fulg de nea, zăpadă
❇️	lumină, strălucire
❓️	punctuație, semn, semnul întrebării, întrebare
❗️	exclamație, mirare, punctuație, semn, semnul exclamării
❣️	punctuație, semnul exclamării, semnul exclamării cu inimioară
❤️	inimă, inimă roșie
➡️	cardinal, direcție, est, săgeată, săgeată orientată în dreapta
⤴️	săgeată, săgeată dreapta curbată în sus
⤵️	jos, săgeată, săgeată dreapta curbată în jos
⬅️	cardinal, direcție, săgeată, săgeată orientată în stânga, vest
⬆️	cardinal, direcție, nord, săgeată, săgeată orientată în sus
⬇️	cardinal, direcție, jos, sud, săgeată, săgeată orientată în jos
⬛️	geometric, negru, pătrat, pătrat negru mare
⬜️	alb, geometric, pătrat, pătrat alb mare
⭐️	stea
⭕️	cerc, cerc mare îngroșat, o
〰️	liniuță, liniuță ondulată, ondulat
〽️	alternare cântăreț, cântăreț, marcaj, schimbare, semn
㊗️	buton cu semnificația „felicitări” în japoneză, ideogramă, japoneză, „felicitări”
㊙️	buton cu semnificația „secret” în japoneză, ideogramă, japoneză, „secret”
🀄️	dragon roșu la mahjong, joc, mahjong, roșu
🅰️	a, buton A (grupă sanguină), grupă sanguină
🅱️	b, buton B (grupă sanguină), grupă sanguină
🅾️	0, buton 0 (grupă sanguină), grupă sanguină
🅿️	buton P, parcare
🈂️	buton cu semnificația „taxă pentru serviciu” în japoneză, japozeză, katakana, „taxă pentru serviciu”
🌎️	Americi, Americile pe glob, Pământ, glob, lume
🌕️	lumină, lună, lună plină, rotund
🌜️	față, lună, lună în ultimul pătrar cu față, patru, pătrar
🌡️	temperatură, termometru, vreme
🌤️	nor, soare, soare după un nor mic, vreme
🌥️	nor, soare, soare după un nor mare, vreme
🌦️	nor, ploaie, soare, soare după nor cu ploaie
